"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30"
"1" NA NA NA NA NA NA NA NA NA NA NA 8.23743560415085e-09 1.16800944851469e-08 1.27345480779945e-08 1.2707114743672e-08 6.78348925297163e-09 1.1267659395833e-08 8.21651353496914e-09 5.54857691896129e-09 NA NA NA NA NA NA NA NA NA NA NA
"2" NA NA NA NA NA NA NA NA 4.76167240025359e-09 4.20641455317987e-09 5.29619325997794e-09 7.21198906699603e-09 1.28691028685898e-08 1.59181626902005e-08 1.25825345033098e-08 1.5573561489808e-08 1.35985842477101e-08 9.40329360396548e-09 6.34124585411799e-09 1.00463537650192e-08 8.75397659927952e-09 7.47170613110163e-09 NA NA NA NA NA NA NA NA
"3" NA NA NA NA NA NA NA 2.45237989666215e-09 4.4428249790273e-09 3.90889811667817e-09 1.26025630576993e-08 1.2480387621078e-08 1.36448549061359e-08 1.65089618707594e-08 2.5605782287788e-08 2.12534829961396e-08 1.85429195775511e-08 1.4295122973818e-08 1.29853568803092e-08 9.32398226844074e-09 6.0825910602406e-09 1.46114140863907e-09 1.8650371625451e-09 NA NA NA NA NA NA NA
"4" NA NA NA NA NA 1.97606476391538e-09 4.99287094698299e-09 4.85214496128425e-09 3.12571540831475e-09 7.67258114770734e-09 6.6959682794232e-09 1.09480155076491e-08 1.62960301532439e-08 2.070571143079e-08 3.53479085169395e-08 2.84078366178958e-08 2.37758911464541e-08 1.51558702960766e-08 1.19829397852928e-08 9.12737895083423e-09 4.23139409344813e-09 6.05803255852403e-09 3.27515424144578e-09 2.33622340780921e-09 2.50608763564364e-09 NA NA NA NA NA
"5" NA NA NA NA 3.72823598471022e-09 2.25807689566935e-09 2.52975696555553e-09 6.20308921510665e-09 4.654279882818e-09 4.1407595307247e-09 8.12906524944841e-09 1.73728666131014e-08 2.51457212621665e-08 3.19080101070072e-08 3.68431920337031e-08 4.62215481037802e-08 2.88628146061118e-08 1.99231495235359e-08 1.2244378454453e-08 7.04547484260848e-09 9.34671252829156e-09 6.64299512965639e-09 7.08831852516327e-09 3.85823906053715e-09 2.70538444682437e-09 1.45949270297985e-09 NA NA NA NA
"6" NA NA NA 1.58133287284593e-09 1.54405657459572e-09 3.97097501901688e-09 4.62995870083033e-09 4.1987907187159e-09 9.82257907200671e-09 5.69018076669072e-09 1.45174765423766e-08 1.34359662924853e-08 2.46490884463306e-08 2.90380401339384e-08 5.93178983696448e-08 5.86109591488394e-08 4.79938571515898e-08 2.39192272916754e-08 2.24641306878133e-08 8.74930315480872e-09 8.73018419634475e-09 5.86878360726657e-09 4.73366039222013e-09 3.15595517066647e-09 3.15933242524732e-09 2.52690800446674e-09 1.38525402311974e-09 NA NA NA
"7" NA NA NA 3.28291642524477e-09 2.45957139647233e-09 2.07713919165984e-09 3.38244575554693e-09 3.31225285629544e-09 5.88890509265323e-09 9.85828750816284e-09 1.74480532238809e-08 1.46630629570541e-08 2.89604605848817e-08 4.66120557984308e-08 1.01577131677317e-07 8.72216545316059e-08 5.80328612708174e-08 3.39374051110011e-08 2.13896467383214e-08 8.76452356003777e-09 7.32247308921732e-09 3.76134761751672e-09 7.92197001883787e-09 3.95883802382596e-09 6.20886108766755e-09 3.76070736651298e-09 3.73511548740894e-09 NA NA NA
"8" NA NA 1.81018107344479e-09 1.47663000804872e-09 2.13245911265566e-09 5.5251588222651e-09 5.25077007435445e-09 4.59237953404459e-09 7.1895844891388e-09 7.55063872057039e-09 1.38878855426955e-08 1.49371501472294e-08 2.99865266183796e-08 5.66819745413985e-08 1.08368582113174e-07 9.66074073374982e-08 6.06901696585555e-08 2.99891777468924e-08 1.39534764142992e-08 1.26820298476346e-08 7.42305016033927e-09 5.92222010571859e-09 4.96421475221494e-09 4.30352378193361e-09 1.39546306435762e-09 1.27932926977089e-09 3.30603808339081e-09 1.34579751283222e-09 NA NA
"9" NA 3.03725181003804e-09 1.65491471826488e-09 2.23411347382448e-09 2.34832578148313e-09 5.12978442640069e-09 4.77923916920624e-09 6.44286357373753e-09 8.24177973387205e-09 7.37360150305275e-09 1.28681502357303e-08 1.91644708772172e-08 3.43692605093054e-08 6.29730661596987e-08 1.38318720839522e-07 1.37584359837513e-07 6.28137634037966e-08 3.78582345346901e-08 2.29725700397929e-08 1.33429010935913e-08 1.26369507933757e-08 4.25150148948513e-09 5.08832057038596e-09 2.98006580314633e-09 4.30848941028803e-09 4.52583951917027e-09 1.40883030765447e-09 1.43542651070742e-09 2.7875677843401e-09 NA
"10" NA 7.27482569421883e-10 2.36718294761113e-09 2.68047685750252e-09 1.61844054565055e-09 4.08819878873168e-09 2.62972676104997e-09 3.61895341011137e-09 7.58777019515953e-09 4.41588268970371e-09 1.6609482232909e-08 2.08212471113963e-08 3.62011707689573e-08 6.07956300192481e-08 1.82038292248494e-07 1.65210803228953e-07 9.10568136572633e-08 3.94822351223912e-08 1.57623919977628e-08 1.4282117746396e-08 1.09638682986221e-08 6.62250548041465e-09 5.65337264884546e-09 3.90474124481679e-09 2.40272623288497e-09 2.23975507811679e-09 1.89864456799985e-09 1.60148319293523e-09 6.7825450905977e-10 NA
