"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30"
"1" NA NA NA NA NA NA NA NA NA NA NA 6.59053621769873e-09 1.28852578948999e-08 1.71740703644017e-08 2.86479497056736e-08 2.58108801895514e-08 2.02088549327225e-08 1.023770391368e-08 7.73786840728211e-09 NA NA NA NA NA NA NA NA NA NA NA
"2" NA NA NA NA NA NA NA NA 3.65600889493468e-09 4.86036371325588e-09 8.16008388198487e-09 1.69310431212547e-08 1.63346147251597e-08 2.25413647127942e-08 2.15708727745455e-08 3.16640611903137e-08 2.45215510526806e-08 1.98494438450782e-08 1.00828901492444e-08 7.25118355264323e-09 5.69674946111517e-09 3.61480259019501e-09 NA NA NA NA NA NA NA NA
"3" NA NA NA NA NA NA NA 4.3414066820045e-09 2.53840108743298e-09 5.36230162376832e-09 6.70896408492072e-09 1.03690902289673e-08 1.47442214236114e-08 2.91898205027361e-08 4.51588964118293e-08 4.08036832417864e-08 2.34254944370851e-08 1.68794546525088e-08 9.85326532834731e-09 7.69603072589777e-09 5.08202176385306e-09 5.01420255809012e-09 1.65176783462619e-09 NA NA NA NA NA NA NA
"4" NA NA NA NA NA 1.34132744069732e-09 3.38198101916451e-09 1.4594057409786e-09 1.89272584570677e-09 8.75113497646158e-09 4.51257817163108e-09 1.22911895840773e-08 1.91530708466886e-08 2.6995919772525e-08 4.2187453092656e-08 4.33145544618447e-08 2.59914134785498e-08 1.60633127504054e-08 6.51447731082888e-09 6.85930617018585e-09 3.85306870277396e-09 5.71766575949643e-09 3.47668246842037e-09 4.01141917552315e-10 3.83392462057913e-10 NA NA NA NA NA
"5" NA NA NA NA 1.08429869568924e-09 1.72698906565767e-09 1.71650618060802e-09 1.64602946446292e-09 6.92480889101097e-09 5.06716051301548e-09 1.02837171319475e-08 8.5668072976022e-09 1.81360357212681e-08 3.57853050332988e-08 5.62958318812007e-08 5.98183530284835e-08 2.18749457493172e-08 1.35676613495101e-08 8.52035502493854e-09 8.68511732605376e-09 2.57312043818305e-09 2.5018073627434e-09 2.94007581452932e-09 1.51838184225859e-09 9.20989473618746e-10 4.8948610952673e-10 NA NA NA NA
"6" NA NA NA 1.90707279646573e-09 2.01724834450518e-09 5.04706006173561e-10 1.96429234182652e-09 2.21758307818674e-09 5.54093743902693e-09 6.12008370980068e-09 8.91729238737875e-09 8.871799683305e-09 2.52365012883432e-08 2.33501899903706e-08 6.12054636468635e-08 7.44543533160929e-08 2.57090118408266e-08 2.43167062728657e-08 1.45382844261445e-08 6.85427931541874e-09 6.08033045220886e-09 4.0177608548677e-09 1.39616398064216e-09 1.18740881667477e-09 3.8285071128087e-09 2.92507668322234e-09 9.24879783074233e-10 NA NA NA
"7" NA NA NA 1.92146167635063e-09 2.32244046233566e-09 2.90852446447963e-09 6.36266779441601e-10 2.9877683626567e-09 3.49792755046172e-09 5.51810127617227e-09 5.36043377302941e-09 1.1146096529009e-08 1.98463907923864e-08 3.06450735215939e-08 5.75102464441575e-08 6.6099398736145e-08 3.41097764247495e-08 1.34349065454357e-08 1.47128338044524e-08 6.85822046699871e-09 1.01152680187123e-08 3.03481196115742e-09 4.29211423343856e-09 1.38710913850621e-09 2.78058943273716e-10 9.11232752307588e-10 1.19431655597879e-09 NA NA NA
"8" NA NA 2.19957308935001e-10 1.17497497632599e-09 2.13900453981625e-09 2.07028760253784e-09 1.76391337323152e-09 3.22861613264096e-09 3.53710746806736e-09 6.08379064467212e-09 8.35588886695234e-09 1.34770876589142e-08 1.94913825017312e-08 4.42841116825865e-08 7.52535035535149e-08 8.46111550944503e-08 4.25161568594093e-08 2.86921951636857e-08 1.03573851913537e-08 6.65741585676989e-09 7.00417928582767e-09 5.14965904466903e-09 3.37020616138899e-09 1.32055601693428e-09 4.01894496572143e-10 8.84199234529479e-10 7.85921525722662e-10 1.21808583532195e-09 NA NA
"9" NA 1.6285280314452e-09 7.70690753350118e-10 8.10405041376512e-10 5.5686527422645e-10 2.20904524810992e-09 7.80840642362074e-10 3.98798582686249e-09 4.24840536186249e-09 4.23529332222339e-09 1.07670539963481e-08 1.1466770405638e-08 2.24282051635053e-08 4.12353886484168e-08 7.40081379042683e-08 1.06624074512926e-07 5.64840959293576e-08 2.04625177760094e-08 1.4312890109029e-08 1.02323804535775e-08 9.91978857867892e-09 3.3374729207454e-09 2.42779195246349e-09 2.82106538740386e-09 1.58795619004188e-09 1.50202024253751e-09 2.03704788709269e-09 1.05106334725558e-09 1.05354092675941e-09 NA
"10" NA 3.67169107213158e-10 2.1459304763084e-09 1.11636674548816e-09 1.10728842091312e-09 2.03159857801003e-09 2.42840956970398e-09 4.02651760651315e-09 3.53522342716216e-09 3.2886621066173e-09 1.5589446544799e-08 1.17991606549191e-08 2.70892428398439e-08 5.32386222640529e-08 9.14548204803813e-08 1.01348606959173e-07 5.36269750582339e-08 2.76024935568936e-08 1.75287614172842e-08 1.0967013527864e-08 6.78291982864866e-09 3.43335753183161e-09 2.2858534056011e-09 1.10566257232651e-09 9.61214137073371e-10 1.27601774532656e-09 6.66636521809782e-10 5.81850295600759e-10 6.72444345009945e-10 NA
