"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30"
"1" NA NA NA NA NA NA NA NA NA NA NA 2.06331018388325e-09 6.6120609844972e-09 3.69126827377363e-09 4.54891290318845e-09 6.83122109346348e-09 2.91208394889562e-09 4.31387484438542e-09 2.82563871269728e-09 NA NA NA NA NA NA NA NA NA NA NA
"2" NA NA NA NA NA NA NA NA 8.23536635666365e-10 9.99980712835609e-10 2.61873199790068e-09 4.1865568830329e-09 2.92987603781423e-09 5.84715362409092e-09 4.56260592261923e-09 3.10619570143067e-09 2.77798797454929e-09 3.63831091539229e-09 1.95262230453982e-09 1.17467143038754e-09 1.88840210512626e-09 1.15718610452467e-09 NA NA NA NA NA NA NA NA
"3" NA NA NA NA NA NA NA 2.78548778973267e-10 1.1624998545962e-09 2.33028695929913e-09 2.95076192447715e-09 2.7645122672456e-09 4.11851436639032e-09 7.65074182573597e-09 9.06083093601992e-09 6.88473316980778e-09 7.39374961015032e-09 6.39730957072857e-09 1.68808551275744e-09 2.7637868877238e-09 2.12083979667815e-09 2.56684460493074e-09 1.4506579516294e-09 NA NA NA NA NA NA NA
"4" NA NA NA NA NA 2.38562402926199e-10 1.9865692195948e-09 2.96677616535678e-09 3.46709597390212e-10 2.39084759077021e-09 1.49185551918712e-09 5.00244930098543e-09 5.82711995330861e-09 6.10806941575882e-09 7.45540117215056e-09 6.82909844665499e-09 4.5660872981361e-09 7.99860910568717e-09 5.11045222723902e-09 2.90824360843145e-09 1.41294881099022e-09 0 8.44137883674966e-10 1.23693983303877e-09 4.1918747516086e-10 NA NA NA NA NA
"5" NA NA NA NA 5.51425016325925e-10 5.4125065285889e-10 2.06332915192784e-09 1.12148435502189e-09 1.27792896613084e-09 2.15555543292154e-10 5.13806547011605e-09 4.75011102167213e-09 5.06107020329985e-09 6.13323512071464e-09 8.84406216123159e-09 9.90107858513264e-09 7.95011911563956e-09 7.25104037265294e-09 3.50780370194293e-09 3.7045756194508e-09 2.38544031791638e-09 1.51675202410323e-09 1.05092625603727e-09 1.34607826030527e-09 0 2.06788936141133e-10 NA NA NA NA
"6" NA NA NA 1.33444443062425e-09 0 5.91083450732168e-10 8.69028985963671e-10 2.92660634174674e-09 1.78145020299364e-09 5.41117070527796e-09 5.54180064352459e-09 6.09064968380531e-09 1.0111715555406e-08 6.33250327951383e-09 1.10600719442553e-08 1.1502813517924e-08 1.0676100839647e-08 7.252738238739e-09 2.27498601303414e-09 6.25559106202247e-09 3.06166310623637e-09 1.14648904631958e-09 1.61771148758456e-09 7.1976351611031e-10 1.00672637132325e-09 9.58866625910766e-10 3.49170115468151e-10 NA NA NA
"7" NA NA NA 1.15512237758281e-09 4.41935123175842e-10 5.00616105838301e-10 6.95263388793052e-10 1.66045680666159e-09 2.74074184054817e-09 1.18001478808317e-09 4.59047602085429e-09 7.78812543077239e-09 1.07875753315086e-08 8.2321504684324e-09 1.10123489745332e-08 1.11127812946447e-08 1.26718573524083e-08 1.13625808009401e-08 6.22776200382940e-09 2.98540913325071e-09 1.08737881825583e-09 1.55120336259235e-09 1.36222086282818e-09 1.89108266529095e-09 1.8372224889513e-10 5.99101662945387e-10 1.24957194802247e-09 NA NA NA
"8" NA NA 3.25324733239991e-10 8.77069450575842e-10 9.30600891368153e-10 9.11402026754343e-10 1.02840900349067e-09 2.69049211982134e-09 3.14159676276709e-09 3.69425699456875e-09 5.11244994496872e-09 5.73756910691723e-09 1.27480727536082e-08 1.27221333481807e-08 1.48521702505333e-08 1.92523384463027e-08 1.27509261643088e-08 7.61279197848716e-09 4.27223812465917e-09 3.91158033606713e-09 4.80449182774519e-09 1.7497308057126e-09 2.23749521412868e-09 6.39200425718781e-10 3.59142105435123e-10 1.642865088046e-09 2.70257126405764e-10 0 NA NA
"9" NA 0 6.15350254377512e-10 2.67863700944454e-10 7.47162916748279e-10 8.27500390250558e-10 1.63116093751205e-09 3.93638465978945e-09 2.42397758285472e-09 5.69240858510937e-09 3.89242586278092e-09 8.76312973899514e-09 9.67848730274344e-09 2.20994888037978e-08 1.76452999423578e-08 2.00822044362073e-08 1.43841687988262e-08 1.06180043681299e-08 9.74488519604389e-09 4.23561294975545e-09 5.35666500744114e-09 2.50460222795745e-09 1.54661658969559e-09 1.8574033717208e-09 1.19567457088746e-09 9.51882389516829e-10 9.29815567348088e-10 0 6.79190402201618e-10 NA
"10" NA 0 4.30336310957115e-10 1.48184608659450e-09 1.14721606643312e-09 1.83949323928835e-10 2.03503454336667e-09 2.30780760918182e-09 3.16913137269721e-09 5.49698186623895e-09 5.92798387088673e-09 6.64705117420971e-09 1.55765161130303e-08 2.13015727071587e-08 2.64532046857178e-08 2.64022536534844e-08 1.90629520517993e-08 1.14492572752743e-08 8.73345815881081e-09 6.38307401476598e-09 3.02989388764817e-09 4.44629258988888e-09 8.95633508083227e-10 9.46110331459968e-10 2.41124440274623e-09 1.24568857236101e-09 3.67297630858359e-10 6.60453924913405e-10 1.13033125766467e-09 NA
