"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30"
"1" NA NA NA NA NA NA NA NA NA NA NA 6.64042741632302e-09 9.1607882611411e-09 6.05978782830297e-09 1.55603835618656e-08 1.30740712028771e-08 7.64305038908716e-09 3.71176409164719e-09 5.80906639618674e-09 NA NA NA NA NA NA NA NA NA NA NA
"2" NA NA NA NA NA NA NA NA 2.61506702357785e-09 5.98150890886534e-09 6.2253071664483e-09 6.58112866184007e-09 4.6557634877175e-09 1.10352380220855e-08 1.61739583549374e-08 8.30731990830987e-09 1.13802488907065e-08 6.66391860627953e-09 5.33339301825387e-09 3.06083499311585e-09 2.95931041300821e-09 1.04693477265563e-09 NA NA NA NA NA NA NA NA
"3" NA NA NA NA NA NA NA 7.88724410854389e-10 2.31179828881753e-09 3.72636171044458e-09 5.08758115242449e-09 9.09715471431973e-09 1.30765793562813e-08 7.98248181218009e-09 9.71245207840814e-09 1.76189379922468e-08 1.56962241345367e-08 7.14001543137141e-09 6.20241270144628e-09 4.3538480809112e-09 4.21017529284808e-09 2.32853315959402e-09 1.40084040893621e-09 NA NA NA NA NA NA NA
"4" NA NA NA NA NA 1.02742905544805e-09 1.94123914192596e-09 1.88605159793643e-09 1.73645886908962e-09 3.83149951130804e-09 2.67534932188715e-09 5.29303177696299e-09 5.92980628533448e-09 1.26779495951502e-08 2.05939677837007e-08 1.56792964254878e-08 1.44286099532298e-08 1.20884250038953e-08 2.65775485544201e-08 3.94821444423368e-09 3.36924122834504e-09 1.58173628636552e-09 1.42325744101181e-09 1.21316196733822e-09 1.42641878172783e-09 NA NA NA NA NA
"5" NA NA NA NA 9.78179447676736e-10 1.32996012668551e-09 1.2919832351594e-09 2.61040722140088e-09 1.67618218639514e-09 4.11236753028341e-09 7.44479653845699e-09 7.16910479476468e-09 1.06316177729213e-08 1.35443080445402e-08 2.96015976202818e-08 2.40453242998837e-08 1.60963751757018e-08 9.73280351987557e-09 5.0706032505429e-09 8.56043737128924e-09 3.50561582001545e-09 3.71160924542735e-09 8.44423856973403e-10 1.49481832398652e-09 2.44477286597205e-09 3.30455401326844e-09 NA NA NA NA
"6" NA NA NA 7.31789526293871e-10 1.18178320751598e-09 1.71600084963062e-09 1.2003077792766e-09 2.42039612463565e-09 4.51103267414826e-09 4.60772755663248e-09 4.0064929712733e-09 8.32981382504091e-09 1.13211739855624e-08 2.24525658462621e-08 2.75800978519591e-08 1.97245810291741e-08 2.37040260034381e-08 1.66027067721098e-08 6.04829164810605e-09 5.11545186060617e-09 5.43022349736071e-09 5.85664703514285e-09 2.08905558406402e-09 1.04380502504645e-09 1.31527380423421e-09 1.37581848023453e-09 4.19211124011783e-09 NA NA NA
"7" NA NA NA 7.64521144336942e-10 1.37340489214978e-09 2.22152926410176e-09 1.62327050885398e-09 5.18095229725053e-10 4.00771229641154e-09 2.63347138108511e-09 6.25959603112724e-09 7.79549346285017e-09 1.41093583742181e-08 1.60606784364326e-08 4.10151338642722e-08 3.45736981497977e-08 2.23192301054494e-08 1.72299386643103e-08 8.39108003016679e-09 8.90749647725051e-09 4.32600574390934e-09 2.83636329008241e-09 2.75645679218524e-09 2.27170436611417e-09 1.40078782551265e-09 1.1828048473483e-09 1.28943260970802e-09 NA NA NA
"8" NA NA 2.010187253208e-09 1.66493735041753e-09 1.19340760746795e-09 1.61326561659256e-09 1.25510075499731e-09 2.84053373543171e-09 4.49307317611067e-09 2.67097193188562e-09 9.07313825629775e-09 9.9284604051269e-09 1.02524182492761e-08 1.54217716332467e-08 3.24686209155472e-08 3.92191185013976e-08 1.91948682836935e-08 1.83049225947866e-08 8.02543945286453e-09 9.47218451809453e-09 4.4721192953189e-09 2.66927523624288e-09 2.66021372318272e-09 2.00943383800369e-09 6.7175909324788e-10 4.60693748884897e-10 1.04328114684759e-09 1.02233364207543e-09 NA NA
"9" NA 7.8229382756777e-10 1.33517088720164e-09 4.36145161215199e-10 1.13927700084257e-09 9.00291404037363e-10 1.90359461915545e-09 4.04342113441915e-09 2.83344139470673e-09 5.77852250583196e-09 9.29943814620897e-09 7.78141676937676e-09 9.12011065190689e-09 1.91177529450218e-08 3.01496700894207e-08 3.84850341299922e-08 2.93931562466435e-08 2.06311358358706e-08 9.02456402378136e-09 8.45336252709588e-09 2.28593047251331e-09 3.10444614817182e-09 5.19978492129915e-09 1.68110213028891e-09 1.71399435941277e-09 8.48821670279066e-10 1.88167042290114e-09 4.00919183586766e-10 7.3089971947036e-10 NA
"10" NA 7.85881225144599e-10 4.61092922044404e-10 9.96951070322605e-10 2.13947674617138e-09 8.65776055328367e-10 3.60077000855771e-09 4.76098843202276e-09 3.80042489381161e-09 3.75576769798554e-09 9.12789761856743e-09 1.34169835030274e-08 1.08868342554804e-08 1.73051726404187e-08 4.52666758394239e-08 3.8056413553798e-08 3.03239069538096e-08 2.36282869274356e-08 1.05697291842634e-08 8.21421994260534e-09 5.55649537897984e-09 2.49011063739992e-09 2.63650491879367e-09 3.51188607327767e-09 2.37652852542509e-09 9.79699801658185e-10 9.9466751496324e-10 1.57916953703668e-09 8.61768574070305e-10 NA
"11" NA 1.32604719713934e-09 6.31836482819981e-10 2.0345496857147e-09 1.98007719829523e-09 2.92002968273366e-09 1.8208792990053e-09 3.46288363425524e-09 4.73356126040736e-09 6.52754633984986e-09 5.71244259863126e-09 1.40223574497181e-08 1.93568723962259e-08 1.86198435416646e-08 4.27847197915139e-08 3.41461382121906e-08 2.84506523786274e-08 3.45058536102021e-08 1.92841150995685e-08 7.91983260974635e-09 7.43111834630578e-09 4.54283241247013e-09 2.13408626179844e-09 2.74920930460382e-09 1.7709988007496e-09 2.57417101140593e-09 9.80209228245409e-10 1.22768045907622e-09 1.60928716956883e-09 NA
