"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30"
"1" NA NA NA NA NA NA NA NA NA NA NA 4.58830415329869e-09 2.95650591105345e-09 4.63966922621543e-09 5.17955158930178e-09 5.73488699341805e-09 5.3955885391458e-09 4.33256767430434e-09 3.07673142353719e-09 NA NA NA NA NA NA NA NA NA NA NA
"2" NA NA NA NA NA NA NA NA 2.91676962812271e-09 4.46134086041908e-09 3.30864810819012e-09 5.59042962823038e-09 5.81796886288818e-09 7.55893891515583e-09 8.05696713092473e-09 6.07366583157907e-09 8.64391766881315e-09 4.75999576941132e-09 4.06202313968486e-09 4.4039746311915e-09 2.87498333609159e-09 2.43218051032963e-09 NA NA NA NA NA NA NA NA
"3" NA NA NA NA NA NA NA 2.17403312937556e-09 3.51649528117492e-09 4.29624006149432e-09 4.64945780419031e-09 7.54478733204975e-09 7.23035293089394e-09 1.15725894671441e-08 1.02498058887477e-08 6.50795383226807e-09 8.35963332122499e-09 4.33036047261685e-09 7.0083032336203e-09 3.3677426503152e-09 3.31881331974387e-09 2.32332199604095e-09 3.3010819845166e-09 NA NA NA NA NA NA NA
"4" NA NA NA NA NA 1.79666193943298e-09 2.46563108937133e-09 2.73678789046863e-09 3.46789021162094e-09 4.52105871471739e-09 5.30284280072199e-09 8.0414835971209e-09 1.18430577679428e-08 1.21880221572228e-08 1.4302860442678e-08 8.33590451974354e-09 1.33401603388157e-08 1.19574295310547e-08 4.94756856454585e-09 3.56148929379064e-09 2.23640908981319e-09 5.13867862637369e-09 1.78250303882627e-09 3.22127088938679e-09 2.46243710779424e-09 NA NA NA NA NA
"5" NA NA NA NA 1.31630819670328e-09 2.3682295810145e-10 4.67324530931146e-09 4.70088806868994e-09 5.34643719885664e-09 3.13218350143646e-09 8.94027548157811e-09 9.65344446989755e-09 1.59568381338543e-08 1.73551821771263e-08 1.85458367882698e-08 1.6132920078787e-08 1.41403621996924e-08 1.24469000533495e-08 7.46595772753758e-09 5.71328267700034e-09 4.54268063983852e-09 4.03695995860597e-09 3.51708254465798e-09 3.47647789927252e-09 3.54543588000315e-09 1.02393324083419e-09 NA NA NA NA
"6" NA NA NA 3.26835375456056e-09 1.13725692486442e-09 2.07418256386339e-09 1.07277610564865e-09 3.95128991652062e-09 3.18648909935725e-09 6.4296287170999e-09 6.10366370338852e-09 8.78219190701126e-09 2.29478756343817e-08 2.17249826955154e-08 3.20676290042222e-08 2.28674489074378e-08 2.10653303116026e-08 1.85245119421301e-08 7.32540959886038e-09 3.5776956983388e-09 5.63157918185777e-09 3.39673279143193e-09 2.26076094950068e-09 3.09829244142454e-09 1.70815150556887e-09 1.76430529134012e-09 7.31115181539419e-10 NA NA NA
"7" NA NA NA 2.08260071471805e-09 2.54140370220365e-10 1.09687453828324e-09 5.04422471065838e-09 5.02573610189803e-09 7.25074402997432e-09 6.96364681159873e-09 4.43774420534282e-09 1.59084314245751e-08 1.44180099729324e-08 2.30577410493145e-08 3.58682300877488e-08 3.78512600369247e-08 2.71949486396909e-08 1.42001269225892e-08 1.18796397090181e-08 1.00777032394712e-08 5.9409880220381e-09 2.53801057631814e-09 4.51006841716708e-09 3.06809738087957e-09 3.12844786860382e-09 1.27787990887431e-09 1.82710508290755e-09 NA NA NA
"8" NA NA 1.62130923337061e-09 1.55637404254297e-09 2.2056349631482e-09 3.13617253170645e-09 4.05105358753163e-09 5.22034792033781e-09 2.9977628966529e-09 3.96987149700562e-09 7.79091888128812e-09 1.33962698747044e-08 2.67740262290936e-08 4.01168417767877e-08 6.42624985140289e-08 5.55828891367215e-08 4.41442534274019e-08 2.46816309105678e-08 1.2103652238246e-08 1.0043016292369e-08 5.51011068125734e-09 2.72843997612963e-09 5.38835550410844e-09 3.08994585397151e-09 3.4742155425091e-09 2.0378863065113e-09 1.64934731401458e-09 1.02390640253147e-09 NA NA
"9" NA 1.06063407965781e-09 2.61355831713583e-09 2.0223833923135e-09 2.23758697612595e-09 2.37851444423624e-09 1.86642436723234e-09 3.35105670746667e-09 6.07330193992587e-09 8.153985075696e-09 9.18237445422091e-09 2.21812526592803e-08 2.49675206513452e-08 4.5444285904802e-08 6.19777609243718e-08 7.56320438988787e-08 5.25169622644705e-08 1.93408808216915e-08 1.22857076866927e-08 9.26604308843152e-09 8.19834002225143e-09 7.15478569961898e-09 3.64692746512865e-09 4.04549926264344e-09 3.85135616124583e-09 1.72472519723563e-09 2.77427324374101e-09 8.80410519938054e-10 1.5101813572176e-09 NA
"10" NA 2.29915145388081e-09 8.81416416635088e-10 1.87538202054726e-09 1.36402750437909e-09 2.95871627957961e-09 3.42189126640782e-09 3.60036427104567e-09 8.08744487822879e-09 8.03616670761686e-09 9.91572844435111e-09 1.30402612842384e-08 3.47148066993515e-08 5.25647689586472e-08 9.72852419884497e-08 8.61920317885028e-08 5.85773167602644e-08 3.66693482349558e-08 1.05570067731285e-08 1.04905211011269e-08 4.88921392371484e-09 3.94613077108131e-09 3.25373535191e-09 2.69783888621141e-09 4.03857846350454e-09 3.49984660302648e-09 2.82747829932094e-09 2.74851071278879e-09 2.13971212467341e-09 NA
"11" NA 2.25972307625524e-09 3.03679622001169e-09 2.737964674336e-09 2.57226736836633e-09 3.19987332156508e-09 6.1022909444069e-09 3.08988584020048e-09 8.82772033740963e-09 5.65234334851966e-09 1.15551403620615e-08 1.44940418705423e-08 3.54518983349812e-08 5.61400103002103e-08 1.07642658105564e-07 1.01661807471861e-07 7.16227391104551e-08 3.20498302435653e-08 1.10299017396937e-08 1.0023672942812e-08 7.06304602889253e-09 4.64083214046307e-09 2.84432238724936e-09 3.65357540104277e-09 4.51006671225516e-09 4.39142251456511e-09 9.43573821402413e-10 1.5773307104332e-09 1.61530029378253e-09 NA
