"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30"
"1" NA NA NA NA NA NA NA NA NA NA NA 1.60161316559583e-09 1.73128404891393e-09 2.84366527229971e-09 1.0398438507718e-09 1.63611946397487e-09 1.94671773085844e-10 0 1.48870013244383e-09 NA NA NA NA NA NA NA NA NA NA NA
"2" NA NA NA NA NA NA NA NA 3.33982427518177e-10 4.72131789974601e-10 3.74187554779565e-09 4.77835736323234e-09 4.10585045104951e-09 2.32599091866739e-10 4.96008642809356e-09 1.42583209844151e-09 1.07803632723485e-09 3.591669093591e-09 3.31103794747064e-09 1.8667084732312e-09 1.73173419195565e-09 6.87817477897393e-10 NA NA NA NA NA NA NA NA
"3" NA NA NA NA NA NA NA 1.19737819609614e-09 2.39993054018425e-09 3.01858551197458e-09 1.50452250298797e-09 2.59899631351351e-09 7.29089536373005e-09 1.30113480728751e-09 5.11551965957124e-09 3.50994920046796e-09 2.05300008647923e-09 3.53252759079567e-09 2.90974859680583e-09 1.24535135164752e-09 9.74261329856361e-10 1.12254936486545e-09 7.49762181593187e-10 NA NA NA NA NA NA NA
"4" NA NA NA NA NA 1.11478823663180e-09 1.31584627038192e-09 7.29573823425539e-10 2.62660119573493e-09 2.1592837178971e-09 1.25597807160724e-09 3.51080603753425e-09 3.12968216938764e-09 2.16711533625881e-09 4.59507372487592e-09 5.19079413612434e-09 2.15184644967509e-09 2.18782710110289e-09 4.35080955864422e-09 1.75610029018376e-09 3.26967624349952e-09 2.3509333297836e-09 8.12824256245531e-10 2.34301865356645e-10 1.48276469736452e-09 NA NA NA NA NA
"5" NA NA NA NA 2.85392540494625e-10 1.69294024067874e-09 1.47832842715337e-09 1.3094850243414e-09 1.22648931687553e-09 8.00739611743982e-10 1.77751387673388e-09 2.70499653432271e-09 6.5545491526031e-09 4.50841719396851e-09 2.27130675861889e-09 4.22123470848904e-09 2.31067332226526e-09 2.87961516806042e-09 1.76575768492371e-09 2.03561860558348e-09 1.69289685125652e-09 2.62393721071235e-09 1.33211502617363e-09 1.60835267756771e-09 1.8912308864733e-09 0 NA NA NA NA
"6" NA NA NA 3.4224800218643e-10 0 0 3.4097418985136e-10 2.17231527556298e-09 4.0149273464771e-09 2.91139882613428e-09 5.48689721310019e-09 7.7190009678213e-09 3.10087617147097e-09 6.60276694603905e-09 7.43141320645949e-09 7.44374612158232e-09 2.89869235605672e-09 5.91315702076056e-09 4.38090158248438e-09 3.5442992995113e-09 2.86710825502664e-09 1.60434484138297e-09 1.84740188811971e-09 2.86258208396455e-09 1.82806361314368e-09 7.28176949547909e-10 0 NA NA NA
"7" NA NA NA 1.44305458671007e-09 1.23105216730963e-09 0 2.75733195039044e-09 3.84559391829613e-09 8.36234940061563e-10 8.18855877105647e-09 3.18506839403417e-09 5.28864511705237e-09 4.59152289916138e-09 5.69584902171367e-09 6.00205820554252e-09 5.00707056102974e-09 4.5369680012657e-09 8.50228656844887e-09 7.14340759830916e-09 4.50237586605048e-09 1.20657863617788e-09 1.43951335404036e-09 3.43956894855159e-09 7.48903935618594e-10 2.50204151101229e-09 4.3781365317266e-10 6.50474573868188e-10 NA NA NA
"8" NA NA 1.37236976166299e-10 3.97358699591428e-10 3.91264589516368e-10 1.03595435303204e-09 1.50600036380231e-09 2.32709468863875e-09 1.83719693058712e-09 1.79780442818604e-09 4.97185711513071e-09 5.34633687386609e-09 8.92996657885377e-09 8.19032084446102e-09 5.98406376329887e-09 1.02975747357915e-08 1.28106751012265e-08 8.48868129465548e-09 6.09108075182648e-09 4.77075840838927e-09 4.32899025107433e-09 2.36541508657493e-09 4.16159748968811e-09 1.51197699957396e-09 1.06004958678247e-09 3.63873142079557e-10 2.28443790981512e-10 6.49993966417079e-10 NA NA
"9" NA 5.77935863758566e-10 6.20375122763573e-10 6.85785504800449e-10 0 1.73048106001749e-09 3.6804147707576e-10 1.45719353865398e-09 2.85011687052255e-09 5.11797455775886e-09 4.59059523214355e-09 3.25518760013386e-09 1.6047237299401e-08 1.29913615920427e-08 1.66177924491178e-08 7.46766610751535e-09 1.00489133719952e-08 7.90412955813972e-09 5.1017358535983e-09 4.19372824073672e-09 2.57572404721146e-09 3.77520672327457e-09 2.56279210472205e-09 3.88342210494093e-09 1.09878684573439e-09 1.30294430506573e-09 7.13818456261143e-09 7.34245179492138e-10 4.05526615725604e-10 NA
"10" NA 0 1.65824614475536e-09 1.28505614823096e-09 4.43189954601611e-10 4.121455686106e-10 2.8745708045291e-09 9.7027864874683e-10 4.8760580473392e-09 4.37818654668323e-09 4.22173022852722e-09 8.3216495613813e-09 5.14088994100179e-09 8.35122181158085e-09 1.7920683029254e-08 4.2820939543213e-09 4.32078967512825e-09 8.50102646494764e-09 6.19859140984779e-09 3.69292058371355e-09 3.37467729366838e-09 4.00391748292714e-09 3.10263228761736e-09 2.58541977725457e-09 2.79679341378712e-09 1.36383064146825e-09 2.2309702423163e-09 4.86980028089473e-10 3.93483293382153e-10 NA
"11" NA 0 1.15645737970003e-09 1.21045784769437e-09 2.30692710861424e-09 1.67621543088476e-09 1.2606681170163e-09 1.15008063870471e-09 1.87271591273654e-09 2.36789482819355e-09 4.87316219925737e-09 3.64331658378026e-09 1.02867322094096e-08 1.13068309896245e-08 1.34896943021144e-08 1.55916192869717e-08 1.02717515129435e-08 1.04687154048092e-08 3.51936782148092e-09 4.00408692617959e-09 3.97316988583458e-09 5.07647402363814e-09 2.00055848775756e-09 1.78745663318181e-09 1.41427223375333e-09 2.12691175943337e-09 9.75095366319771e-10 9.76269295528798e-10 2.06673715773533e-10 NA
"12" 3.41157083085926e-10 0 3.77015550373561e-10 5.0979187047494e-10 5.21820928579223e-10 1.20606246229769e-09 3.64397109546927e-09 1.50644754109697e-09 2.64665921325363e-09 5.70081173727669e-09 4.56216553690053e-09 9.57491123959908e-09 1.18551266561564e-08 1.67202581736956e-08 1.31664919648569e-08 2.50318924542657e-08 9.22222326991265e-09 1.11222469216309e-08 6.64538066890024e-09 4.97701512476267e-09 2.90532810647813e-09 6.28063908454341e-09 4.37784011907705e-09 2.27814518550191e-09 6.39895408333206e-10 2.15621582493569e-09 5.30593579545921e-10 1.48043480902305e-09 0 3.75438665933861e-10
"13" 4.41216066983949e-10 0 0 0 8.80627251450026e-10 1.56879369490741e-09 2.57695124951818e-09 2.17667667754918e-09 2.11222020872031e-09 2.03973350110912e-09 6.39658860281993e-09 1.13943982016943e-08 2.95710681380713e-08 3.01231047213336e-08 1.88464472651412e-08 3.98743672908505e-08 1.51081592446315e-08 1.74282925288646e-08 1.31416860622554e-08 7.462640161697e-09 1.02230315782744e-08 2.7317580529296e-09 1.67749029570612e-09 2.6337436292109e-09 3.35814782483417e-09 3.17646357928286e-09 7.80140399679546e-10 0 2.82935966919831e-10 0
