"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30"
"1" NA NA NA NA NA NA NA NA NA NA NA 1.19561248330863e-08 2.7146996918542e-08 3.40150491187826e-08 6.22937915175854e-08 4.59519595059996e-08 4.09269431598698e-08 2.22101572573438e-08 1.32665540246371e-08 NA NA NA NA NA NA NA NA NA NA NA
"2" NA NA NA NA NA NA NA NA 7.41841401241324e-09 5.19793803823228e-09 1.31531129807273e-08 1.79685732383369e-08 1.73273739717228e-08 3.0719495082615e-08 6.55353708295741e-08 4.74187663745127e-08 2.99078338706469e-08 2.79647682106111e-08 1.68681898545224e-08 6.68784862365443e-09 9.13171308903381e-09 4.26052225029535e-09 NA NA NA NA NA NA NA NA
"3" NA NA NA NA NA NA NA 3.39392304902811e-09 5.03804781611795e-09 1.17056540328062e-08 9.66861596311972e-09 1.44242593216305e-08 1.94735651390041e-08 4.12240579853998e-08 5.37062459944412e-08 6.11191806551513e-08 3.09308958083334e-08 3.19246198054924e-08 1.77119850061587e-08 5.04422975461088e-09 5.4666214477298e-09 6.39190282819771e-09 2.87102862001392e-09 NA NA NA NA NA NA NA
"4" NA NA NA NA NA 1.10803671960703e-09 1.9061447669355e-10 3.76241732218531e-09 4.21739992972731e-09 7.67256422005037e-09 9.5634606683626e-09 1.3884374493682e-08 2.65227092539349e-08 3.38462537082115e-08 5.10272348584467e-08 5.94760151215969e-08 4.28388717236754e-08 3.32458619698608e-08 1.99064424672783e-08 1.22860087730337e-08 9.13449949859074e-09 5.67744316195282e-09 3.12270453060538e-09 2.66728303919797e-09 1.76234276034574e-09 NA NA NA NA NA
"5" NA NA NA NA 2.03353039166963e-09 3.38046182418394e-09 3.21084969686462e-09 2.65394538398822e-09 6.83004049202694e-09 1.14905933544151e-08 1.29037922514692e-08 1.86905803252675e-08 2.6727892866772e-08 3.63799117974474e-08 5.23824622529554e-08 7.41616589821141e-08 3.77768863081357e-08 2.06068922401422e-08 1.15179045599324e-08 7.50517112517296e-09 6.7783338792653e-09 5.67037829796349e-09 3.74438919794942e-09 1.71664118925845e-09 2.41945331480162e-09 1.52737582834692e-09 NA NA NA NA
"6" NA NA NA 6.49922569634539e-10 1.2018411290168e-09 1.76688036987366e-09 2.92581435143596e-09 4.89864299158053e-09 6.67794722993857e-09 6.19330964453954e-09 1.22470661923649e-08 2.03847337295235e-08 2.93254125572641e-08 4.31151519642629e-08 7.3816613566197e-08 9.12011386948549e-08 4.59513386617123e-08 2.86513813516618e-08 1.81279710344796e-08 1.31125458547671e-08 6.55466187412663e-09 6.92548739765594e-09 3.17104912440675e-09 2.30060936375684e-09 2.45970503187237e-09 2.04438495296876e-09 1.48634818936047e-09 NA NA NA
"7" NA NA NA 6.32973223163654e-10 1.57641901005608e-09 1.21369581651577e-09 2.88182887052375e-09 4.27649113822107e-09 5.34541024678517e-09 6.83457383684002e-09 1.18635393962334e-08 1.67287744718806e-08 2.2417890164114e-08 3.53361848854126e-08 7.41429504516873e-08 7.98096906453213e-08 4.19929345523696e-08 2.54037482317318e-08 1.62409073449554e-08 1.6109845219509e-08 8.95845062086679e-09 5.48567633880569e-09 4.50241102648495e-09 3.03001628620952e-09 1.59948475472306e-09 1.90583975813174e-09 1.42542038965139e-09 NA NA NA
"8" NA NA 9.73835726931631e-10 2.19007794830804e-09 8.32540609318074e-10 2.23406212279184e-09 1.69749536915735e-09 3.23667470938857e-09 4.9885274466311e-09 6.31310789543552e-09 1.70068616801518e-08 1.32355441076846e-08 2.78755523788835e-08 4.39787676112556e-08 7.64957934085985e-08 8.48738667818896e-08 4.3270164720603e-08 3.92827701202329e-08 1.94385038685841e-08 1.11319371986687e-08 8.08333916939761e-09 8.16568228613701e-09 6.27941425213555e-09 3.98046442949116e-09 2.06522539434303e-09 1.79839174033939e-09 2.99166733846301e-09 6.94562228472425e-10 NA NA
"9" NA 5.10871001288258e-10 1.00651658704101e-09 2.29652001173665e-09 2.90495864609916e-09 2.67366705139174e-09 2.2499062737229e-09 4.70405884344291e-09 2.65786133064204e-09 6.59912126095128e-09 9.82306189972609e-09 2.25730696032756e-08 3.08154334415946e-08 4.75452414418625e-08 9.02404148062919e-08 8.41265064901061e-08 4.5358200585412e-08 3.43818405377758e-08 2.11854878934999e-08 1.0869094612914e-08 8.25525681802448e-09 3.65078356475259e-09 1.69975726210804e-09 2.87774622644724e-09 1.82646211136837e-09 2.7287334078754e-09 3.00207942865859e-09 2.42012952852344e-09 6.31104408149385e-10 NA
"10" NA 6.41654018825666e-10 4.25933242110776e-10 1.09521974933505e-09 1.53469344062838e-09 2.08253390108688e-09 1.97894658089791e-09 2.54592623650425e-09 9.20342742502732e-09 8.60257339455911e-09 1.37007478745124e-08 2.0292527914387e-08 3.31289552406451e-08 5.61346553384565e-08 7.76115512971727e-08 7.36800814209323e-08 5.23775244472847e-08 2.00523837785429e-08 1.36335041335639e-08 9.9991149729523e-09 9.88344675806292e-09 2.72175545689449e-09 3.59106117252223e-09 2.78573927332652e-09 7.98668126000234e-10 3.6033283573976e-09 4.89017442374489e-10 1.99986746931713e-09 1.28728704457907e-09 NA
