"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30"
"1" NA NA NA NA NA NA NA NA NA NA NA 3.01958363493907e-09 7.20830599439833e-09 5.33960890642463e-09 4.23606259438027e-09 2.14489370717261e-09 4.01463816417567e-09 2.01833967443704e-09 4.23321986689276e-09 NA NA NA NA NA NA NA NA NA NA NA
"2" NA NA NA NA NA NA NA NA 2.64083670556328e-09 1.0130579278728e-09 2.15869771511414e-09 8.81238438399186e-09 2.40538607347264e-09 6.37955274035799e-09 3.33510601187067e-09 7.88489567419478e-09 7.58878549497643e-09 5.47008172010452e-09 2.53912358451224e-09 3.21536567447944e-09 2.34428360628052e-09 4.27458721307946e-09 NA NA NA NA NA NA NA NA
"3" NA NA NA NA NA NA NA 2.49759685240536e-09 8.03072345113941e-10 2.41484930458007e-09 2.92609766838424e-09 4.28940179368303e-09 5.22119755190316e-09 1.0118756794369e-08 8.51051162175442e-09 8.61492874499492e-09 9.82003506194399e-09 8.61606762133959e-09 4.64393099462834e-09 4.10179648582390e-09 4.96413749784505e-10 1.34309042657284e-09 1.476920565742e-09 NA NA NA NA NA NA NA
"4" NA NA NA NA NA 8.74270964593794e-10 1.36310139842159e-09 1.48543773720203e-09 1.25931440327177e-09 1.30678055886545e-09 2.05272284500494e-09 3.13518093425388e-09 5.3512235691136e-09 9.4134243420451e-09 1.2582024745351e-08 1.48686070016277e-08 7.97145275114637e-09 5.10869909587512e-09 4.87575622530546e-09 2.16177265168443e-09 3.27722403653765e-09 2.26496044502398e-09 2.10864443999983e-09 2.88773372503328e-09 1.91900336403789e-09 NA NA NA NA NA
"5" NA NA NA NA 3.15602732061471e-10 2.18976743736911e-09 1.43336918615840e-09 6.26534512456673e-10 2.91144559761411e-09 2.72223724057515e-09 7.98802383855515e-09 9.72159368676358e-09 7.31404180619323e-09 1.20348840244633e-08 1.15632180979404e-08 1.18746490409406e-08 9.0930912671767e-09 5.88073796974253e-09 3.40391646379731e-09 4.71738484962098e-09 1.70347741967914e-09 1.88425052530184e-09 1.7175167305891e-09 1.00756895701206e-09 4.40787391507922e-10 0 NA NA NA NA
"6" NA NA NA 0 5.70162774761407e-10 1.12512677695395e-09 9.12338463793169e-10 1.23079623959398e-09 7.56519541441546e-10 2.32499054120236e-09 5.27641620123429e-09 5.47528181078489e-09 1.22833255356697e-08 1.56038338960355e-08 2.13929751078141e-08 2.15917838939123e-08 1.58550528385293e-08 1.47618301213868e-08 4.81957231999753e-09 6.07310523149683e-09 4.74386085159069e-09 1.41808048024772e-09 1.39101570783651e-09 1.19597187730724e-09 1.38996922535515e-09 3.63295799874757e-10 4.37146014809349e-10 NA NA NA
"7" NA NA NA 8.09915025363392e-10 1.64798894603862e-09 7.71950517746188e-10 1.11071476990816e-09 3.03744456089428e-09 1.88639757317763e-09 4.88227209782565e-09 3.76659891518863e-09 1.13749012357495e-08 1.15646408161325e-08 1.45583830356402e-08 1.69267668164385e-08 3.06367566126841e-08 1.39545361529479e-08 2.13590483386777e-08 6.02109937648609e-09 3.3310609136103e-09 2.29713312854211e-09 1.39441908432596e-09 2.10775506494086e-09 3.66757677887704e-10 7.99269533243342e-10 0 2.59264293397231e-10 NA NA NA
"8" NA NA 3.08976471539766e-10 7.15610993698832e-10 1.12743408529866e-09 4.69840405532251e-10 2.27655419502299e-09 3.09273433856566e-09 8.30806714818451e-10 3.21988094355887e-09 4.93526550151198e-09 9.50510102246572e-09 1.16911701277619e-08 1.69021559251782e-08 3.88088912730669e-08 3.58245887691103e-08 2.16032136342562e-08 8.02781692816211e-09 5.15889201994509e-09 3.61607929923141e-09 3.68864234631278e-09 4.86187734671002e-09 5.94417153227867e-10 0 9.9565167165107e-10 1.31112670875508e-09 4.0024336331637e-10 0 NA NA
"9" NA 0 3.41152924535762e-10 1.83375975878854e-09 1.63340726757394e-09 6.55021980258716e-10 1.10145817046476e-09 3.40675400748959e-09 2.71790961239953e-09 3.48916653848211e-09 5.00906668186501e-09 8.29088610827935e-09 1.50088472392117e-08 2.97811860016353e-08 4.06643886497207e-08 4.36284107947662e-08 1.82409269490538e-08 1.63152343883555e-08 4.76929175718301e-09 4.7221822526993e-09 3.76889877920061e-09 1.95826464051653e-09 1.7091535088294e-09 4.60175710330535e-10 1.69370816105364e-09 0 9.52889557693331e-10 0 7.43092614394661e-10 NA
"10" NA 2.87394541168202e-10 0 1.22482637510096e-09 4.71456126003417e-10 1.73932363604704e-09 2.38932201638966e-09 3.24499706374286e-09 2.72951250062749e-09 3.95137561222460e-09 8.68862943433604e-09 8.57005349625967e-09 9.91045266435437e-09 1.60114405061638e-08 5.23394442738487e-08 5.11061457097859e-08 3.0625097564963e-08 1.40774007445706e-08 1.07264061527399e-08 5.29072529385162e-09 2.97003044734459e-09 1.88319512479867e-09 1.55026525354617e-09 1.50089385445451e-09 4.93099888036658e-10 5.08084254722027e-10 1.47101011419037e-09 6.97435813712215e-10 7.66001176044759e-10 NA
"11" NA 1.81263400131409e-10 6.68519779209092e-10 0 8.33525341530542e-10 9.59266518083224e-10 7.21742845882093e-10 2.82477979189299e-09 2.275462348341e-09 4.42835387399562e-09 4.82324833928884e-09 1.11098299962993e-08 1.55074562612756e-08 3.15581249016763e-08 4.69861249838446e-08 6.1222548580196e-08 2.83474208883465e-08 1.97234777640397e-08 5.86108048348348e-09 6.50333168162621e-09 5.57079548662406e-09 2.62127516083093e-09 7.41457379477339e-10 2.49722248658618e-09 4.93111872086759e-10 9.51809116675789e-10 1.67336952972331e-09 6.85637717803263e-10 2.41613841718315e-10 NA
"12" 4.41806256208632e-10 0 9.35903343956821e-10 0 1.79305995123003e-09 8.25292715458574e-10 1.73226694100909e-09 2.66847958677688e-09 5.68455038390372e-09 3.02366316047242e-09 1.06966212327942e-08 1.40479185401621e-08 1.40498437192953e-08 2.08442108333282e-08 4.52886492175003e-08 5.69572898997861e-08 3.25792949874842e-08 9.46186699497019e-09 7.82393069939408e-09 5.54712964308121e-09 2.51724320905666e-09 2.52974134776871e-09 7.09505021033224e-10 1.49625386365877e-09 2.4487844404785e-10 1.01008041091342e-09 4.43647332507332e-10 3.8288000122294e-10 4.40513805725323e-10 0
"13" 2.28050603560855e-10 0 7.89706930773373e-10 7.27939427056389e-10 1.49990097399284e-09 2.16835378332306e-09 3.82232821950508e-10 2.21009261040112e-09 2.70746814515939e-09 4.2487937214782e-09 7.49950377889519e-09 1.09084172058499e-08 1.75743351597043e-08 4.38640956297629e-08 8.15497284433776e-08 8.6431132637473e-08 3.72662627172265e-08 1.54393368589638e-08 1.3750011768661e-08 4.0192034349684e-09 4.53664446113939e-09 2.62919553110354e-09 3.41762723267714e-09 1.53791007757205e-09 1.51272326844086e-09 4.02970389543381e-10 2.0373240664684e-09 0 0 3.96317327748495e-10
"14" 3.61046453362453e-10 0 1.94463687036786e-10 3.6936809922611e-10 9.4422660993921e-10 1.01628534816417e-09 1.24884522805415e-09 2.1094815113128e-09 5.00718357737883e-09 4.58948797752055e-09 5.61221726848117e-09 1.27416719115555e-08 2.41626084005433e-08 3.59854597982969e-08 8.2274988940037e-08 6.7690138672388e-08 3.44852353717355e-08 1.52185558292183e-08 7.3500190997017e-09 5.36495144098607e-09 4.14524911287633e-09 4.75788655249852e-09 1.86471298743287e-09 1.44121973648537e-09 1.11841342710763e-09 1.55067700399717e-09 1.12135381446882e-09 6.63750199566125e-10 0 0
"15" 2.06074136150728e-10 0 4.89287819570422e-10 6.68452167705835e-10 9.68712742771436e-10 3.74430589272551e-10 1.13754860648175e-09 2.37013986116046e-09 4.06064265051852e-09 7.33922109138549e-09 6.63496876015342e-09 1.59183258499382e-08 1.92326848369125e-08 3.79817923138248e-08 7.84093893327678e-08 7.66636360642358e-08 5.188609366758e-08 2.22639244088105e-08 9.83698158953815e-09 9.19095809983982e-09 5.05305067031462e-09 1.44851745938389e-09 2.95318792523349e-10 6.02180688049118e-10 1.84143388092493e-09 2.7782505547079e-10 4.58989117920217e-10 1.82474211521753e-09 1.68224354302913e-10 2.17117342470362e-10
"16" 7.79997593043134e-10 2.16821340226495e-10 2.27423492548646e-10 2.1161157349675e-10 1.1162922857305e-09 1.10966042212133e-09 1.38886233151622e-09 2.15990876849779e-09 3.99558291316228e-09 4.34744765727882e-09 9.39809510782272e-09 6.80511010577835e-09 2.16880120264474e-08 2.68027436489351e-08 8.53980246748994e-08 9.27671960167243e-08 4.4639373416846e-08 1.60346809815081e-08 1.10397395488184e-08 5.1412372582479e-09 4.91875759430239e-09 1.78176378718913e-09 5.10572699147944e-09 1.64726827118059e-09 1.81467937581637e-09 5.38611834282766e-10 0 2.1075420319923e-09 0 0
"17" 7.53314917848396e-10 2.61829627414508e-10 0 0 0 1.140088937827e-09 1.24227869682072e-09 1.74889790954357e-09 1.91769196917305e-09 4.36841789326842e-09 8.04045955143941e-09 1.24117093391003e-08 2.29028400811091e-08 4.17559390407524e-08 7.9983736669552e-08 9.2972474512274e-08 6.64746171308973e-08 1.3695433774029e-08 9.79336967336978e-09 4.57837468579446e-09 3.902071355985e-09 2.22427985608428e-09 1.87819860809329e-09 8.17306235544398e-10 1.13618093788056e-09 5.76334246241835e-10 2.17888340266744e-10 0 2.48350226610106e-10 3.30051899320101e-10
"18" 3.78391009148254e-10 2.51822282476326e-10 6.80394460080547e-10 0 1.38353232136885e-09 2.37201291157264e-10 1.08679290453808e-09 2.32271013994098e-09 4.50837249721397e-09 5.36772820906185e-09 4.79941103937917e-09 1.42109720639694e-08 2.4967909487197e-08 2.86873698342321e-08 7.9644306337732e-08 8.3577757225796e-08 4.07747724575288e-08 2.50217343396228e-08 1.16482622052675e-08 6.07197801790056e-09 3.69680913383113e-09 2.9845047375279e-09 1.72015053299731e-09 1.73780714064689e-09 1.0561363098041e-09 4.34867178884334e-10 9.82921862728492e-10 1.58404056826466e-10 0 3.59323541550638e-10
"19" 3.58334038425845e-10 0 4.12111801122723e-10 7.79584569793966e-10 3.28777947680019e-10 8.9229540700705e-10 1.73735485424472e-09 2.87938842391872e-09 4.21833056148084e-09 4.70863935556859e-09 5.12658490661123e-09 6.40719654924156e-09 1.3249029065469e-08 3.25764943122913e-08 7.85833433073567e-08 9.58965778979108e-08 3.5478941395243e-08 1.7865928498033e-08 1.06024802070997e-08 3.85307682354322e-09 3.21842179487296e-09 3.23791529120072e-09 5.21823844726806e-09 1.15746091847969e-09 2.16139068901688e-09 2.02376287121931e-09 1.62683129830437e-09 1.28941175337833e-09 8.0533551566831e-10 7.79474142488913e-10
"20" NA 0 4.68029821444358e-10 1.76791834450042e-09 0 1.20062161105847e-09 2.54600647446129e-09 5.23289181086699e-09 1.72886294526142e-09 4.91645550855448e-09 4.86907850656609e-09 1.28723978267138e-08 2.26346833280702e-08 2.95365008565259e-08 5.38639072031459e-08 4.7607016790776e-08 2.62738768571292e-08 9.06472451862505e-09 5.86230684788788e-08 4.23123168935575e-09 4.43116912025426e-09 3.19174421058953e-09 2.32941207700414e-09 6.73590011328864e-10 7.7460180724167e-10 1.32391868848083e-09 4.3615058216421e-10 2.16911454102394e-10 0 NA
"21" NA 2.06827719976318e-10 9.71188582205138e-10 4.07302379956303e-10 4.21140308809659e-10 1.3366331677882e-09 8.4958563940307e-10 1.18055568869373e-09 6.3512621909498e-09 9.3660874348038e-09 9.35105041863808e-09 1.13551348884367e-08 1.45190128249021e-08 2.93802161441211e-08 3.72259349926073e-08 3.87161552965309e-08 2.40343178350566e-08 1.41228248380799e-08 5.20957018327119e-09 6.75161632401805e-09 4.6588553337096e-09 2.27084937934917e-09 1.73765955325933e-09 1.21424324848508e-09 7.66978556133234e-10 3.47131128701366e-10 4.49432528364305e-10 3.51292389524755e-10 1.5609896729054e-10 NA
"22" NA 0 3.65594150031682e-10 9.308685129101e-10 1.56148674331852e-09 9.87196986872038e-10 1.22934668310423e-09 2.61996409501174e-10 2.32794101460344e-09 4.13032796504648e-09 6.58420625838694e-09 8.22102534890126e-09 1.84023066964109e-08 2.13294471184172e-08 2.75663645847836e-08 3.26269861977877e-08 1.96304573703932e-08 2.21329678099131e-08 8.65774233682269e-09 4.48512081462169e-09 3.28159786849456e-09 2.86165123971116e-09 7.2631252634096e-10 5.76876487696244e-10 8.64504251678929e-10 1.03101938154064e-09 5.70115973959933e-10 2.68573179998567e-10 1.61363614269118e-10 NA
"23" NA NA 2.50441017848293e-10 6.96700991209085e-10 8.19459978614556e-10 6.41043198470342e-10 1.51278724725589e-09 1.74997197772747e-09 2.90653469811687e-09 4.3965540471108e-09 7.33182243690357e-09 4.85810030166323e-09 1.39135020353588e-08 2.32385179783092e-08 2.9427730358291e-08 2.62773335116895e-08 1.10270577054898e-08 1.16504170739454e-08 5.64815015448883e-09 3.97934477748872e-09 2.47685225917664e-09 3.84336248977365e-09 1.86550119258439e-09 1.56783156937703e-09 1.38206302162466e-09 1.15668015443502e-09 1.251148028511e-09 0 NA NA
"24" NA NA NA 1.61019400207141e-10 2.86711827509246e-10 4.33613602435237e-10 8.87639622501448e-10 1.3858768247369e-09 2.40607301096408e-09 3.87537835658038e-09 2.44129198512866e-09 6.14130783230959e-09 7.77610259997689e-09 2.35993893467166e-08 1.59015199347448e-08 1.60929590119095e-08 1.64742152998448e-08 9.41064845163322e-09 4.22569725237537e-09 4.36124703832451e-09 4.05278783751145e-09 1.10263064483135e-09 2.84760383499229e-09 1.15695724982477e-09 1.34245431664196e-09 0 7.82638383355334e-10 NA NA NA
"25" NA NA NA 1.40165884329509e-09 7.09667892913069e-10 8.92470532818896e-10 8.27121731007054e-10 3.49303579057399e-09 1.49251601316631e-09 2.50282545918304e-09 5.21056044307094e-09 3.8001146126205e-09 8.40970173712184e-09 8.93862218734013e-09 1.14146994156788e-08 1.70220526700914e-08 1.7888458886354e-08 7.96151165901135e-09 5.37108537097044e-09 5.13559066860557e-09 1.68290484342373e-09 2.57849702186211e-09 1.6632277986969e-09 9.3317657999302e-10 1.97018414046029e-09 8.95833354942379e-10 2.37340924282086e-10 NA NA NA
"26" NA NA NA NA 4.82939870240583e-10 3.36539256715891e-10 1.04970358064608e-09 8.40513306378234e-10 2.21731963863807e-09 4.88163385274839e-10 3.23148660128349e-09 3.68182129035384e-09 4.53117778597043e-09 1.4849750895255e-08 1.33681602748226e-08 7.98605095030383e-09 8.9624823928016e-09 6.64994162296413e-09 8.07945206969452e-09 8.24664959398701e-09 4.47814763865141e-09 3.59051978674149e-09 1.43009287260247e-09 1.57742352267799e-09 1.13736223573594e-09 2.10642906008564e-09 NA NA NA NA
"27" NA NA NA NA NA 3.67875786836869e-10 5.21779409136951e-10 1.48977627199089e-09 1.49992905240646e-09 2.25718725900587e-09 2.3209196377356e-09 2.96956866332863e-09 4.32517433190184e-09 1.03357250906358e-08 6.8737902564631e-09 7.93227046432144e-09 1.35206565618433e-08 9.33242408085059e-09 6.5835918227463e-09 5.61022369195553e-09 9.34016551064064e-10 5.76903058264348e-10 2.11899169441329e-09 8.87865431358667e-10 5.04973144228651e-10 NA NA NA NA NA
"28" NA NA NA NA NA NA NA 1.49510917199785e-09 1.9848711012828e-10 1.27257517476484e-09 1.98641383018005e-09 1.4996518303088e-09 3.1237797718761e-09 1.02760205666361e-08 1.00488443322347e-08 1.625066731555e-08 1.10893554390299e-08 4.68974972591637e-09 4.34866381467906e-09 4.01556355051042e-09 1.11705912321942e-09 8.34977184913768e-10 5.51278239379232e-10 NA NA NA NA NA NA NA
"29" NA NA NA NA NA NA NA NA 7.00266585729351e-10 6.66424183229634e-10 1.67740770524294e-09 2.33296470705345e-09 2.10851279237549e-09 4.16505630678912e-09 8.94652485233827e-09 4.21792290151697e-09 4.6029318118625e-09 5.33754629881022e-09 4.72678369760628e-09 2.18316775009165e-09 3.65730680672573e-09 2.27131420748005e-09 NA NA NA NA NA NA NA NA
"30" NA NA NA NA NA NA NA NA NA NA NA 2.49110149844656e-09 1.68126969629742e-09 5.16110525023845e-09 8.63014067401207e-09 4.31458597427153e-09 2.66620837282137e-09 3.61802731591938e-09 5.7108963127754e-09 NA NA NA NA NA NA NA NA NA NA NA
