"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30"
"1" NA NA NA NA NA NA NA NA NA NA NA 8.75321942215562e-09 1.07548027446714e-08 1.45138229729974e-08 8.27330384386179e-09 1.29859083428548e-08 7.8212677824174e-09 9.94160950088035e-09 4.95724092771234e-09 NA NA NA NA NA NA NA NA NA NA NA
"2" NA NA NA NA NA NA NA NA 4.35474337620468e-09 6.23798553861903e-09 8.48081215254944e-09 6.03588415739424e-09 1.04358652390098e-08 1.24084226351867e-08 1.36394485591147e-08 1.34487932601812e-08 6.70504458554452e-09 7.47929498939487e-09 6.63634748578596e-09 4.04826340573059e-09 3.30178169062067e-09 1.15930799068158e-09 NA NA NA NA NA NA NA NA
"3" NA NA NA NA NA NA NA 4.2195535672235e-09 2.57498473437693e-09 3.42454524007647e-09 7.08546115475335e-09 5.7905317672366e-09 1.41446439694215e-08 1.7068131236652e-08 1.5405677246247e-08 1.60910515326392e-08 1.78044318760614e-08 1.03921992039685e-08 7.60428550531246e-09 3.20912612743269e-09 4.16392534013171e-09 4.20795600692209e-09 2.03103805622252e-09 NA NA NA NA NA NA NA
"4" NA NA NA NA NA 1.27677640038568e-09 1.62982917638287e-09 2.40470940810479e-09 3.96155746204403e-09 5.22235386539788e-09 5.59950233436039e-09 5.90228467183463e-09 1.8061441140162e-08 1.08330382905684e-08 1.5383714709059e-08 1.86633929995575e-08 1.28034565891444e-08 1.07024695272473e-08 1.110159604819e-08 6.01001578897311e-09 4.79227016818577e-09 5.80127966839855e-09 2.44619539413231e-09 0 3.26036900451457e-09 NA NA NA NA NA
"5" NA NA NA NA 1.36524309808258e-09 1.90984325994536e-09 9.87750668637824e-10 2.13539765651525e-09 3.82094487175068e-09 4.71472510862592e-09 6.99917233332972e-09 1.02544468185903e-08 1.4877712474008e-08 2.0349340134384e-08 2.70366523960502e-08 2.35138809293958e-08 1.60963693350603e-08 1.46881674880948e-08 7.6674494790174e-09 8.60082170624546e-09 1.54766857693099e-09 5.44440332757706e-09 3.42797814230648e-09 1.07059212179951e-09 1.11432112897099e-09 1.8131565061113e-09 NA NA NA NA
"6" NA NA NA 1.58127875063655e-09 1.15520983243415e-09 2.72286075486701e-09 2.0806632092757e-09 2.83474171381554e-09 4.27090870755374e-09 4.91053854182416e-09 5.92447663295611e-09 1.39696613292122e-08 1.54660125704825e-08 2.58852559949384e-08 2.96158959502727e-08 2.48645899401787e-08 2.43325241561859e-08 1.66241935050317e-08 6.79571594911962e-09 4.82889510889839e-09 7.37876748901452e-09 1.39195465643233e-09 1.38547435096804e-09 4.22812882324133e-09 2.12794124002745e-09 3.00793649017906e-10 6.06207012790573e-10 NA NA NA
"7" NA NA NA 8.1953416450877e-10 1.15779518598432e-09 2.79548820323353e-09 1.66363807329531e-09 6.43460112273758e-09 3.6844867550769e-09 4.71890640019807e-09 6.99186877829169e-09 7.66223898024623e-09 1.56977412752841e-08 1.95410496251574e-08 2.63176024675812e-08 4.02526755993686e-08 2.51946682032256e-08 1.81404315214667e-08 1.26734115296555e-08 7.76230928826062e-09 6.59454726879494e-09 4.95867586071154e-09 2.79275338893185e-09 2.77274493572205e-09 1.33533850834122e-09 1.16572375671848e-09 1.26454011540518e-09 NA NA NA
"8" NA NA 2.19714443907342e-10 1.15713043191102e-09 1.07386431167573e-09 9.07195272725851e-10 3.28453062372167e-09 3.43951281235921e-09 6.63657446679141e-09 9.46727537093953e-09 1.36123024700866e-08 1.80102078854381e-08 2.12136881941679e-08 2.81311569815389e-08 2.69785627362775e-08 3.29738530583385e-08 2.00951851789167e-08 2.05544082208369e-08 1.17957637531643e-08 1.02137093680374e-08 8.49241170859396e-09 1.11107632617696e-09 4.06679629191605e-09 3.18898404857235e-09 1.95800288286139e-09 1.86335980827317e-09 5.06130589313366e-10 1.52661528130484e-09 NA NA
"9" NA 7.31707636220021e-10 0 1.32781360283229e-09 9.09443210152901e-10 2.57181007554464e-09 2.68571922494679e-09 3.11748481050328e-09 4.35972539400095e-09 3.89142659332307e-09 1.48316790605496e-08 1.0921997007036e-08 2.96879367339363e-08 3.37563563609618e-08 3.36625061241835e-08 2.85601704888806e-08 4.02156631014835e-08 1.91248211026308e-08 1.31146989255453e-08 9.2736844597429e-09 7.11789322453569e-09 6.41000296147228e-09 1.88502576408268e-09 3.39391198700406e-09 1.67128595923289e-09 1.06773618039894e-09 1.42811068189082e-09 1.11390114423731e-09 0 NA
"10" NA 5.27517281390984e-10 9.61367569323448e-10 1.39015660260951e-09 2.07148031721067e-09 3.30916617513222e-09 2.54202802623445e-09 3.01947062950136e-09 6.8460818075277e-09 7.09042422899495e-09 1.08642733792534e-08 1.72740087874791e-08 1.99583350785081e-08 3.11169957714469e-08 3.74877497323532e-08 4.61036510161126e-08 2.94777198752779e-08 1.65538575830115e-08 1.6929136751194e-08 8.40599165857698e-09 6.04342226851877e-09 3.65674212110471e-09 4.22078835906951e-10 2.30351979048246e-09 8.92326924090958e-10 7.49824293506226e-10 6.15551499889701e-10 7.07805420282863e-10 1.21046565117828e-09 NA
"11" NA 0 7.14102317405101e-10 1.8733655768522e-09 8.58531204314881e-10 2.09372406869944e-09 2.33747188875433e-09 3.86846358884908e-09 4.73458387643167e-09 1.07320574015794e-08 1.34424186989513e-08 1.88270001047576e-08 2.5905331526377e-08 4.15262183891068e-08 3.56811888495757e-08 5.23197594425265e-08 4.78572253533246e-08 2.53598532896743e-08 9.2605962583465e-09 1.36293813624882e-08 7.00865606463226e-09 3.16591247948526e-09 4.07398160456557e-09 3.93911853635017e-09 7.4048232028835e-10 1.21310456421495e-09 1.36783774301497e-09 1.48546666255792e-09 1.21062019971808e-09 NA
"12" 9.95365686052169e-10 3.50499305075766e-10 7.9835228359971e-10 1.40800191326015e-09 9.09863450595368e-10 1.78235252413434e-09 1.96321565829735e-09 3.40611309892215e-09 3.31129695790256e-09 4.97318055211184e-09 1.98583692457638e-08 1.21450138341575e-08 2.34272482266609e-08 3.36567948812603e-08 4.11840081865373e-08 6.1223343121758e-08 4.57886713846986e-08 2.60177142589615e-08 1.23424778542706e-08 1.31493630362818e-08 4.90244173957492e-09 5.26377729048194e-09 3.58355851146468e-09 3.67415793767589e-09 1.23701606397565e-09 1.27084047611559e-09 1.94549412390194e-09 1.01321771265603e-09 3.27183747720049e-10 8.00512920174335e-10
"13" 1.91394843018635e-10 1.58371898361117e-09 4.3344935545083e-10 0 2.55466669242616e-09 1.11687098808644e-09 3.43677628267231e-09 5.36385484281642e-09 5.30281349822781e-09 9.78318531212350e-09 9.74978192826017e-09 1.90974872280243e-08 1.97410362701873e-08 4.14502782369145e-08 6.60479285101982e-08 5.71939301754216e-08 3.69164857069751e-08 2.46524891082336e-08 1.68883482919436e-08 9.10027133633743e-09 4.75654356980088e-09 5.759245986998e-09 1.9476914711462e-09 2.27057264325077e-09 1.94043142818946e-09 2.53030134982357e-09 7.57643103729191e-10 1.29670393587436e-09 7.82758707988319e-10 2.03737483243849e-09
"14" 8.61080839381680e-10 7.66611712319535e-10 4.45905167354533e-10 1.40476132163511e-09 1.12215656445121e-09 3.0454532927949e-09 5.41000803576009e-09 4.67628513052529e-09 4.81011604014818e-09 8.00553174216254e-09 5.78025109941003e-09 1.84572595673815e-08 2.25618276980733e-08 5.05304203547537e-08 6.46460742030809e-08 6.54851139746129e-08 4.58715325528076e-08 2.71082645932699e-08 1.88206515366714e-08 1.18905843369047e-08 1.00294664780173e-08 7.0255911120829e-09 4.38244553672218e-09 1.72800932862768e-09 1.69424340693741e-09 1.50587252228556e-09 3.07042631601127e-09 0 0 1.11290976416167e-09
"15" 4.92721877861695e-10 1.92635163201067e-09 5.00523256820814e-10 1.78915077572848e-10 2.4406819668329e-09 1.37094142744877e-09 2.21827889218311e-09 5.0805715552219e-09 5.04334731982248e-09 6.05787732021398e-09 1.08394178531319e-08 1.65151515648929e-08 2.62286604994152e-08 4.89020465729084e-08 5.00802512825348e-08 5.75224227093183e-08 3.61231712239481e-08 3.50774341326136e-08 1.67188775836134e-08 1.38379818056777e-08 5.4212119720594e-09 4.46479199836123e-09 4.80978807141513e-09 2.43661014614898e-09 3.05606328062448e-09 1.74647885749883e-09 1.29078734848031e-09 4.56464678518113e-10 6.99172612954416e-10 0
