"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30"
"1" NA NA NA NA NA NA NA NA NA NA NA 8.22164053640426e-09 1.72711542076354e-08 1.13680168922546e-08 9.50354697892042e-09 2.94537578160204e-08 1.26884766968996e-08 8.5231916687335e-09 7.22666511880194e-09 NA NA NA NA NA NA NA NA NA NA NA
"2" NA NA NA NA NA NA NA NA 4.48165457596944e-09 7.89309417610799e-09 9.25521643066758e-09 1.22686368471172e-08 1.34462649905522e-08 1.56158360277095e-08 2.03780151432798e-08 1.5697014185554e-08 1.12473828483738e-08 1.3382093450969e-08 7.02430850406026e-09 6.27620680122726e-09 6.50936397770444e-09 5.02852054022209e-09 NA NA NA NA NA NA NA NA
"3" NA NA NA NA NA NA NA 2.94627760545157e-09 5.37213180315371e-09 4.28929420294772e-09 8.13791867651295e-09 1.21845234933416e-08 2.13713243465622e-08 1.72946715766947e-08 2.34242683698192e-08 1.93434921231747e-08 1.91086381931554e-08 1.57791539800777e-08 6.58943266098794e-09 7.81751596998821e-09 6.17485402747594e-09 6.04461267366332e-09 3.61270874702666e-09 NA NA NA NA NA NA NA
"4" NA NA NA NA NA 7.81860010236352e-10 7.32271998402374e-10 6.27174821948019e-09 5.899805926842e-09 8.65538411549426e-09 8.62505870111646e-09 1.50218663678775e-08 1.45639866185709e-08 3.03664818178417e-08 2.86362355437199e-08 2.59914309161249e-08 2.10232742982565e-08 1.34784707904899e-08 1.10103640637177e-08 9.31726413719917e-09 1.11127281726057e-08 5.40316238772444e-09 3.22016864358742e-09 2.42081423807574e-09 3.91947738722965e-09 NA NA NA NA NA
"5" NA NA NA NA 2.15034515175383e-09 2.94266144864654e-09 2.71363489339614e-09 4.01001876355476e-09 1.5734042462128e-09 7.29070547438504e-09 1.02005986704216e-08 1.54016655665011e-08 1.83528153243035e-08 2.56382821583522e-08 3.22788569860458e-08 2.20450329403437e-08 2.44445304660668e-08 1.7380019498433e-08 1.24089274059691e-08 8.54507659850141e-09 6.23033284109217e-09 4.30234519935996e-09 3.82026899129812e-09 1.95771102563828e-09 1.37715499278192e-09 2.81379396188723e-09 NA NA NA NA
"6" NA NA NA 3.20647739972562e-09 1.48043025267914e-09 1.52433687110953e-09 3.32156967070084e-09 5.17970130144845e-09 4.38715930546127e-09 9.19642899659045e-09 1.54838052770351e-08 1.44718075810778e-08 3.30407420254691e-08 2.75115258681783e-08 3.16579401828646e-08 3.2394528462908e-08 2.65377334701138e-08 2.18342643910645e-08 1.8870614756789e-08 1.05889034510969e-08 8.92730492924052e-09 5.80979453540261e-09 4.85828283547481e-09 1.81251118058726e-09 3.00300949225139e-09 5.52267356154142e-10 1.32042890687555e-09 NA NA NA
"7" NA NA NA 1.134867625649e-09 1.27355670890757e-09 1.92088160529065e-09 3.79138305460009e-09 5.78813442733913e-09 6.88438318079929e-09 7.12371360076161e-09 9.43802418061102e-09 1.18456924212425e-08 1.83608312355472e-08 2.78288731793759e-08 2.92024627871235e-08 5.15351630963837e-08 3.44077818663479e-08 2.25673427316813e-08 1.42959132583341e-08 7.07699859242845e-09 4.25601239286402e-09 3.92399027768629e-09 3.49774720094440e-09 3.40699543834856e-09 1.93347138787574e-09 3.7135085228692e-09 2.13079620626007e-09 NA NA NA
"8" NA NA 1.25305299203645e-09 2.77875055156395e-09 1.82725333459324e-09 2.01133598887899e-09 4.274304389838e-09 5.94581850045731e-09 6.20633297447309e-09 9.74328430596532e-09 1.46076080248749e-08 2.18703928218019e-08 1.82304741690674e-08 4.20069770104573e-08 5.0979670692943e-08 4.71334470160841e-08 3.11716926523578e-08 2.37100480676115e-08 1.5047696234619e-08 9.61595122823868e-09 8.39150838596219e-09 5.99036478135461e-09 4.17210585517261e-09 4.14258682359964e-09 1.18205087648916e-09 1.98372939798754e-09 7.13817638549549e-10 1.45892400458937e-09 NA NA
"9" NA 1.95733360200986e-09 3.34386221133923e-09 1.8350856430173e-09 2.670121933398e-09 2.5825628646681e-09 5.27572986411455e-09 4.10776309635531e-09 1.10000988880671e-08 6.30228657914847e-09 1.51208522179707e-08 2.14790096106175e-08 3.31728941905557e-08 4.44445998980732e-08 4.52203572113837e-08 3.64724453968471e-08 2.86163089253506e-08 2.77039341559776e-08 1.6713685672245e-08 1.05367597938698e-08 1.16352757470387e-08 7.38985456151831e-09 5.77475641645643e-09 4.03258973332482e-09 1.96432445260596e-09 1.88523753545005e-09 1.80164056939881e-09 1.2398991035917e-09 1.60185125961424e-09 NA
"10" NA 2.40285381379854e-09 1.98896435661118e-09 1.41784370124387e-09 2.39614181136779e-09 3.03727057060635e-09 4.11636108415793e-09 3.65635239647421e-09 5.47516317896952e-09 9.30441889435247e-09 1.08451478188418e-08 2.27669781491534e-08 3.1096465823747e-08 3.72339279420334e-08 4.82633469699653e-08 5.60586605749493e-08 4.53911181421116e-08 2.56611954770756e-08 2.14393388764129e-08 1.2705540057818e-08 8.84328082209875e-09 7.69474707304671e-09 5.85953301291969e-09 2.94286761030542e-09 3.96422429234988e-09 2.8527923570669e-09 1.04909612837972e-09 1.67819113464369e-09 1.30753491929021e-09 NA
