"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30"
"1" NA NA NA NA NA NA NA NA NA NA NA 1.48140822597381e-08 1.52738614538249e-08 3.72116750596527e-08 2.72031511729412e-08 2.49684477748888e-08 2.74737109442737e-08 2.78619631175627e-08 1.54535765697627e-08 NA NA NA NA NA NA NA NA NA NA NA
"2" NA NA NA NA NA NA NA NA 1.15818278921219e-08 6.93751902408445e-09 1.48006945231445e-08 1.22154460343937e-08 1.47407176042714e-08 2.96249384634437e-08 2.74909226401393e-08 3.79991985217007e-08 2.32691773705041e-08 2.32013526806374e-08 1.35511083997988e-08 1.40568072159721e-08 8.89813657777501e-09 9.0274803479051e-09 NA NA NA NA NA NA NA NA
"3" NA NA NA NA NA NA NA 8.22974782518838e-09 7.74478296257255e-09 8.46804879330384e-09 7.41810127744926e-09 2.20284875999552e-08 2.24659115524701e-08 4.14960492711583e-08 3.68337394583539e-08 5.03327698808536e-08 3.17940082957841e-08 2.66406880774022e-08 1.40969400316775e-08 1.47837587583029e-08 1.30292828254386e-08 5.99987541396589e-09 1.42301128032109e-08 NA NA NA NA NA NA NA
"4" NA NA NA NA NA 3.4323632148547e-09 6.6187422394378e-09 9.3325240064395e-09 2.40891098243868e-09 1.12236482603447e-08 1.36354867119266e-08 1.24084154900289e-08 2.57072116944876e-08 2.71606142532717e-08 4.87123048344701e-08 4.34838420607993e-08 4.43499681860487e-08 2.70843230086349e-08 1.8069001929253e-08 1.59549043334327e-08 1.22855201826588e-08 9.35007215282033e-09 8.01248442186807e-09 5.44633891328102e-09 9.34911592438004e-09 NA NA NA NA NA
"5" NA NA NA NA 5.78447399848535e-09 3.50844630084743e-09 6.94923497888423e-09 7.24690869834541e-09 1.1089052729249e-08 1.73411572423083e-08 2.05441326290186e-08 2.68553174496763e-08 2.27686423583325e-08 4.3525734425774e-08 4.59146431084694e-08 5.7703270852584e-08 4.2358501846766e-08 3.05696732046548e-08 2.34412873126054e-08 1.92651435563919e-08 1.41800543849088e-08 1.42428108295508e-08 3.58066691983152e-09 7.60605034171772e-09 4.62050311444142e-09 4.2092224740049e-09 NA NA NA NA
"6" NA NA NA 2.95216659031392e-09 4.14336714353462e-09 5.1986482913054e-09 4.85855472788092e-09 9.86629278326006e-09 1.69968473778685e-08 1.17674119985308e-08 1.85251878968404e-08 1.72898750130845e-08 4.31748814842912e-08 4.95915788978247e-08 8.28639151813411e-08 8.81410078414019e-08 5.17996538502043e-08 3.26264467193306e-08 2.82644790198075e-08 2.6240509288262e-08 1.24541164409865e-08 7.442722591058e-09 6.53167409043168e-09 9.74912166068295e-09 6.95076051786085e-09 1.57970196312717e-09 4.02326965015088e-09 NA NA NA
"7" NA NA NA 3.46460490193312e-09 4.33408421162710e-09 5.90880467366493e-09 3.26600175297615e-09 6.53731206647665e-09 9.84478668411908e-09 1.38113321548866e-08 1.9240180742874e-08 2.79965441312603e-08 3.74073611493217e-08 6.40636754944392e-08 8.52900920781147e-08 9.87679948190706e-08 9.67854316711094e-08 4.92046762740285e-08 2.92450880880064e-08 2.28219849164145e-08 1.96130432151428e-08 9.47216548970087e-09 1.03596501448941e-08 6.45495069739526e-09 4.38401626256426e-09 1.17523393721467e-09 4.97124312102801e-09 NA NA NA
"8" NA NA 3.28777271589491e-09 3.99860728605463e-09 5.59316817700446e-09 6.64198231981508e-09 5.7740558012497e-09 6.02994914390725e-09 8.42098572364746e-09 1.36685559540229e-08 2.45011636133091e-08 3.34308576553177e-08 4.04815906010087e-08 7.24821127100962e-08 1.10180959030627e-07 1.12117730441354e-07 7.08887747964162e-08 3.51766311890608e-08 2.77291614924091e-08 1.899578779594e-08 1.45942881008002e-08 1.10841541712548e-08 6.96551061689068e-09 4.76265761170883e-09 3.92702374430071e-09 3.31862102007721e-09 3.66500413657993e-09 4.02416028628207e-09 NA NA
"9" NA 2.54398502337605e-09 2.95874984119803e-09 6.82757678135648e-09 2.90907639672582e-09 6.52410583835978e-09 9.1804153834618e-09 8.44176971891979e-09 1.12788836620613e-08 1.5613532909582e-08 1.63463931690485e-08 3.27357349613713e-08 3.85055123202858e-08 7.61916821754312e-08 1.18936568165812e-07 1.67292432118256e-07 7.99446166019275e-08 4.59884897781297e-08 2.92580893818695e-08 2.22463779212479e-08 1.96882123710802e-08 8.08967014717227e-09 1.40978375807386e-08 6.05640622496134e-09 4.23564292604848e-09 6.63799731883054e-09 3.65338588415772e-09 3.79246866020397e-09 2.25912473345772e-09 NA
"10" NA 1.51760413942191e-09 3.82376723455117e-09 2.90932267125384e-09 5.68455475791037e-09 4.63219718752163e-09 8.10181289177219e-09 6.56115684443017e-09 1.16331918687881e-08 1.88107979614489e-08 2.57728429612935e-08 2.78205990954677e-08 5.21356237934917e-08 8.79555295743231e-08 1.39230639860635e-07 1.81137543723015e-07 9.22162691492962e-08 5.54856189005623e-08 2.46940497842925e-08 2.44078520485477e-08 1.53593665244915e-08 1.15197467732074e-08 1.01494244795423e-08 5.67068467389009e-09 4.76397655061117e-09 3.70895487269583e-09 3.54327057377365e-09 3.82550318518729e-09 3.24964464171594e-09 NA
"11" NA 2.39033315618345e-09 4.94540449968186e-09 4.62932185423925e-09 5.64274256298920e-09 4.11972335022326e-09 8.0351913640397e-09 8.28651352314978e-09 1.34199853036647e-08 1.44159391483502e-08 2.0550831596741e-08 4.04259940901532e-08 6.86903248925765e-08 1.21699778839832e-07 1.7990407263579e-07 1.5473137485457e-07 8.91263076297641e-08 5.22420350268941e-08 4.57161251771088e-08 3.1533051518063e-08 2.11645564607779e-08 1.09019846813365e-08 9.90298937861948e-09 7.31831468154039e-09 8.54689191068418e-09 2.45903649304075e-09 5.09181863245995e-09 2.92368413752001e-09 2.81490872264063e-09 NA
"12" 3.93594318131458e-09 2.33037790362256e-09 3.44844482148321e-09 2.9543207121024e-09 5.50974336469212e-09 4.08151955025416e-09 7.71789882552553e-09 1.65939605504331e-08 1.33320286010249e-08 2.0219744418952e-08 3.0286722306247e-08 2.56067325557752e-08 5.50103603691489e-08 1.07442969673647e-07 1.86474268927194e-07 2.1132926594869e-07 1.01727636512923e-07 5.41708878517879e-08 3.68894093713407e-08 3.39284343568751e-08 1.85749504422058e-08 1.47212403207357e-08 1.08632529671242e-08 1.03208580400179e-08 5.05706598804381e-09 4.18368107717812e-09 1.69310697184759e-09 1.60919819492667e-09 2.12282944025297e-09 1.52232853402586e-09
"13" 2.8693249807162e-09 1.22176624573519e-09 4.43243097769985e-09 5.61360426561365e-09 4.53431382874737e-09 5.85635724201299e-09 8.68306388909609e-09 8.00198256009451e-09 1.05320352734683e-08 2.01423722859239e-08 2.66820353390531e-08 3.65560981363937e-08 6.85328974980735e-08 1.20129605340391e-07 1.97656875356975e-07 1.74234680920363e-07 1.08229269764338e-07 6.87980148583222e-08 4.16875450196203e-08 2.41484051723632e-08 1.87708137619011e-08 1.37803693443905e-08 1.29845874596133e-08 6.74473845792295e-09 5.1145219750208e-09 2.81112019737579e-09 4.37367879192644e-09 1.16693679006426e-09 5.1388334040841e-09 3.37023222715677e-09
"14" 2.10416433971602e-09 3.57038940350519e-09 2.1044438224002e-09 4.63113181437257e-09 6.94824151293606e-09 4.43302664010924e-09 7.44615487432413e-09 1.37986883595887e-08 1.11649160372188e-08 1.93666381316487e-08 3.05950694428279e-08 5.18852571268873e-08 6.47069438636398e-08 1.33674642571495e-07 2.12296716392655e-07 2.08686165988868e-07 1.08436972316021e-07 6.47738619734099e-08 4.35770689496433e-08 3.66330313314378e-08 2.25325261279552e-08 9.26646685193256e-09 1.02743235277577e-08 5.43017576564752e-09 5.01675929402414e-09 4.4415667177459e-09 3.08770684381819e-09 3.50923804774573e-09 1.78323874225836e-09 2.24444781881479e-09
"15" 4.05801804883839e-09 4.45969477353032e-09 4.36047843694601e-09 4.83429377226341e-09 4.15068530519374e-09 4.82126544661473e-09 8.57761590584567e-09 9.7231542657915e-09 1.53742313635853e-08 1.86031580699415e-08 2.78000156248867e-08 4.26011667804904e-08 7.1311526217396e-08 1.16106183748158e-07 2.05868141217077e-07 1.82910252078612e-07 1.20738636597116e-07 6.24644243775916e-08 5.58736426305902e-08 2.68661405101027e-08 1.56999455574884e-08 1.09388796581282e-08 9.13150821879519e-09 6.91190333053213e-09 7.82364089263502e-09 4.39843943672984e-09 2.77291879515337e-09 6.03110076359098e-09 3.64913599781784e-09 1.35295717450455e-09
