"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30"
"1" NA NA NA NA NA NA NA NA NA NA NA 1.95902483933916e-09 4.02103185972979e-09 3.9176994237461e-09 5.43775893668719e-09 9.62995721601624e-10 7.88129487917257e-09 5.7551797611248e-09 8.23276510207868e-10 NA NA NA NA NA NA NA NA NA NA NA
"2" NA NA NA NA NA NA NA NA 2.73653238752523e-09 2.89119102408744e-09 4.17699251567962e-09 4.66935344029362e-09 1.60601341928449e-09 4.27623611158988e-09 4.96896711218201e-09 6.1642848863195e-09 5.54191135137945e-09 2.2571438775806e-09 4.67880576073525e-09 3.72469922849825e-09 2.25306243563602e-09 1.9008360379607e-09 NA NA NA NA NA NA NA NA
"3" NA NA NA NA NA NA NA 1.66305548708063e-09 2.61348242249615e-09 3.60079950936224e-09 3.30374598825475e-09 3.68266298569586e-09 7.61740475733771e-09 8.30611644830813e-09 6.36884567047947e-09 6.10080565045027e-09 4.60515214918424e-09 5.73793399981192e-09 5.96190147531123e-09 3.57463649508736e-09 1.90527116758724e-09 2.20124098454562e-09 1.18884968394396e-09 NA NA NA NA NA NA NA
"4" NA NA NA NA NA 1.15098113630946e-09 2.86428271885367e-09 4.95214352865676e-10 2.22397506582071e-09 1.13916443520918e-09 1.56793891039741e-09 4.16079109777343e-09 6.81662438699078e-09 8.2235419366918e-09 1.03146954795795e-08 9.1719273751801e-09 1.4809108361515e-08 5.81183053557809e-09 6.06175984756487e-09 4.46832426713571e-09 2.53493974916834e-09 4.98126436161692e-09 1.06028605474172e-09 2.62751828808082e-09 1.73915725900725e-09 NA NA NA NA NA
"5" NA NA NA NA 5.41890586020256e-10 6.54848889474676e-10 0 2.83777380669334e-09 2.63193734098535e-09 3.2376242166471e-09 7.8253224658489e-09 7.43498556947615e-09 6.18583228919715e-09 7.58592153955789e-09 1.21622739234925e-08 8.4883422827864e-09 1.45183156417402e-08 7.88122996549423e-09 6.62388870807049e-09 4.71777973304009e-09 3.2482143247671e-09 2.67344669371129e-09 2.225313134398e-09 1.45086309629419e-09 2.39139283040907e-09 8.44138540670791e-10 NA NA NA NA
"6" NA NA NA 1.81316724038865e-09 1.62461771789658e-09 1.4783908096283e-09 2.09144512534027e-09 1.17425479440118e-09 3.15829955510192e-09 3.9756459810558e-09 6.10052700735747e-09 8.70200651793874e-09 1.25157615423573e-08 1.44306334514507e-08 1.51595349592485e-08 1.96617294973336e-08 1.15752203110882e-08 1.64327862875746e-08 5.41774515472077e-09 2.45569738714457e-09 4.38355208588975e-09 3.17511614048209e-09 2.50413639452441e-09 2.12642182147008e-09 2.45606970263762e-10 1.06599770177744e-09 4.61935109973622e-10 NA NA NA
"7" NA NA NA 1.65898783554999e-09 2.52613873519724e-10 1.38894958315903e-09 2.53925002782191e-09 2.42181632175177e-09 2.59234993056113e-09 3.82797177268186e-09 4.10842957373095e-09 8.16294077308907e-09 1.05769532216033e-08 1.85405721790824e-08 2.96384879687531e-08 2.98513425922236e-08 1.60157194446314e-08 1.35308256363099e-08 8.5755318162065e-09 5.0735502100235e-09 4.6669687007824e-09 2.61037490348503e-09 2.23436234490367e-09 2.80123026468929e-09 3.27581259605087e-09 1.05190639212338e-09 4.43717480777086e-10 NA NA NA
"8" NA NA 3.11499417943733e-10 3.2201117352437e-10 1.34689723267743e-09 8.31282368599346e-10 2.40793513098729e-09 2.54061177787456e-09 5.85857298610538e-09 3.98109093329767e-09 6.66023455373791e-09 7.04663810900064e-09 1.18005606374248e-08 2.00906874756865e-08 3.32103754244508e-08 2.41918565816811e-08 2.41507262473373e-08 1.53790136555459e-08 5.40713019103711e-09 6.59652585203855e-09 3.12821390244449e-09 3.68970002239481e-09 1.81507040564093e-09 3.05332753860659e-09 8.69885675586347e-10 2.16190584589606e-09 3.99939587876781e-10 3.24520919474693e-10 NA NA
"9" NA 6.74918709831704e-10 1.52740685559817e-09 1.78204623092625e-09 2.71304232405081e-09 1.4210433633124e-09 1.26181348608578e-09 2.1966544449007e-09 4.66455041836846e-09 4.22315852388773e-09 5.62615524897908e-09 4.91521722275108e-09 1.23996067695234e-08 2.19036311428635e-08 4.74095828632904e-08 2.8544734710775e-08 2.08128300052602e-08 3.03363883183929e-08 1.54579427788498e-08 5.71598884239427e-09 4.08249250372996e-09 2.63861759504722e-09 3.20483453809343e-09 4.52925637175145e-09 3.10280453887345e-09 3.08084900337977e-09 1.82625570278373e-09 1.11460980113326e-09 1.16285613984377e-09 NA
"10" NA 1.13829611138154e-09 6.81865812589717e-10 1.84854927151187e-09 6.20162647244113e-10 1.74612413163867e-09 3.69595578558509e-09 1.5404166367817e-09 4.96545303063893e-09 6.52468654685956e-09 6.17360340854444e-09 7.34533117733373e-09 1.69405230649884e-08 2.36860753841655e-08 4.68939296328702e-08 4.24526361067816e-08 2.20468765891542e-08 1.92863039307291e-08 5.87186883866827e-09 4.9473720720173e-09 5.48071088085013e-09 4.06706837102258e-09 4.11174525943948e-09 2.81430688911371e-09 1.4185990664831e-09 2.48901385380427e-09 4.48136010706029e-10 8.84153961524898e-10 1.66274335252509e-09 NA
