"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30"
"1" NA NA NA NA NA NA NA NA NA NA NA 4.4944864957358e-09 5.85507621435933e-09 7.77730095788799e-09 1.28733630250175e-08 1.13160716022493e-08 5.27321111377272e-09 3.81013351919973e-09 5.14508346656264e-09 NA NA NA NA NA NA NA NA NA NA NA
"2" NA NA NA NA NA NA NA NA 3.00010994239609e-09 2.08202563123305e-09 5.96377167484986e-09 4.30226411524896e-09 5.87159373255647e-09 8.08167120856211e-09 1.26616133212769e-08 1.39749838223743e-08 4.65526027399394e-09 5.98987824430278e-09 6.38487937410759e-09 4.00615746119398e-09 3.00488365824219e-09 4.20848742829651e-09 NA NA NA NA NA NA NA NA
"3" NA NA NA NA NA NA NA 7.41569817587252e-10 1.6976978042875e-09 4.03791034012851e-09 4.62273142559233e-09 5.14642063193678e-09 5.66248125457878e-09 1.23548252787745e-08 1.34342628739853e-08 9.32729387954557e-09 6.86958544667604e-09 6.32725932845596e-09 6.81866633700508e-09 4.89988198655955e-09 2.23001983639113e-09 2.28897106745097e-09 1.7004987808421e-09 NA NA NA NA NA NA NA
"4" NA NA NA NA NA 1.44598787688646e-09 9.12951226168449e-10 2.10656179925718e-09 2.61519709439387e-09 9.65770693903962e-09 3.93610411474312e-09 1.476993885129e-08 1.3084639454379e-08 1.67791630433288e-08 1.67791787831815e-08 1.77677174116376e-08 1.25190824824948e-08 1.15133319272365e-08 4.13965547101044e-09 5.70853666182828e-09 2.85319868344166e-09 3.99994934465018e-09 9.89063907572728e-10 1.4813362270017e-09 1.52483963180042e-09 NA NA NA NA NA
"5" NA NA NA NA 1.33059152763095e-09 7.22700028164763e-10 9.07340830942313e-10 3.95033941711113e-09 2.05304822161339e-09 5.75305818821847e-09 1.24148570531879e-08 6.6153316983823e-09 8.69057104290062e-09 1.75882532690372e-08 2.40025371725866e-08 1.50798532902954e-08 1.26409207159127e-08 5.37832868118901e-09 5.00307247313964e-09 8.34979838223399e-09 4.57471804474435e-09 4.30642208003598e-10 2.48494532090995e-09 2.74753246399996e-09 7.04078984308516e-10 1.02548315688265e-09 NA NA NA NA
"6" NA NA NA 2.97099884787155e-10 7.21446946864899e-10 1.8137938070776e-09 3.77211690614392e-09 2.00957309465898e-09 1.42410506469498e-09 4.09896877704936e-09 3.32958350413788e-09 5.98748061065666e-09 2.03392600093854e-08 2.30297706059183e-08 2.06418969586403e-08 1.8474729129226e-08 1.40466107627723e-08 1.89048961387823e-08 8.82174179304742e-09 4.34861882411983e-09 2.0611821183806e-09 3.41929843412045e-09 3.62033299998854e-09 1.2533476969784e-09 1.44736915791239e-09 1.19389064637573e-09 8.9630750885003e-10 NA NA NA
"7" NA NA NA 1.05612730256886e-09 9.262432277717e-10 5.93493755998298e-10 1.72157100658419e-09 2.62491787156015e-09 2.3682061712071e-09 3.10141909734663e-09 7.07990007867519e-09 1.07843781947847e-08 1.34481105205405e-08 2.33395096022037e-08 3.08367561496692e-08 2.87100868568842e-08 1.5391411561019e-08 1.39896673644842e-08 1.15605802917943e-08 5.73147281851766e-09 3.53799293603935e-09 2.7934123682942e-09 2.64559348251735e-09 1.79880682867206e-10 1.62725888794899e-09 1.02968373279179e-09 7.7919738025601e-10 NA NA NA
"8" NA NA 5.48476090587433e-10 1.9471319667035e-09 1.31841722548596e-09 2.19436183922258e-09 1.152912881433e-09 3.48395995287518e-09 3.404620087461e-09 2.11084045311518e-09 7.01584716420858e-09 6.8468267881943e-09 1.76422553974438e-08 2.86642004953297e-08 2.18286860955741e-08 3.01127207954547e-08 2.09820067348275e-08 1.75011112961441e-08 8.75490916076783e-09 8.51827139434694e-09 4.17589927967533e-09 1.2411771215678e-09 2.79014799312746e-09 1.41149833418986e-09 1.49797446154437e-09 2.03233624317592e-09 2.80558452642816e-10 2.68212876531997e-10 NA NA
"9" NA 8.51356545085352e-10 1.17536985354259e-09 2.2334281067577e-09 4.46667792735573e-10 1.89437696270644e-09 9.70598860016416e-10 2.35210582647413e-09 3.0722919128086e-09 4.31063422764199e-09 7.97906641371876e-09 8.47448010222563e-09 1.36054308586101e-08 2.70497569515065e-08 4.30643774384449e-08 3.19274681166518e-08 3.58636294160053e-08 1.87380765574068e-08 7.69963825912123e-09 3.97667142090245e-09 4.74214208102905e-09 8.33846900892047e-09 4.1420607812796e-09 1.35786190834171e-09 1.89820697483619e-09 1.28943443537129e-09 3.37018016081256e-10 8.9922601500039e-10 8.23160830065926e-10 NA
"10" NA 6.67308797652241e-10 1.50000233928428e-09 1.96240221392809e-09 8.45834199693989e-10 1.85519341812251e-09 2.14311066805721e-09 8.628208285332e-10 2.9740453517413e-09 3.95936061622739e-09 5.96328352387013e-09 1.08269702301403e-08 1.49011888614304e-08 3.33208329456672e-08 4.77765077569285e-08 6.67492787262279e-08 3.82471389263106e-08 1.53515931177778e-08 9.43443684186657e-09 6.46382264943433e-09 3.38244806064155e-09 3.51638770599743e-09 1.71112063624073e-09 2.37165922494689e-09 1.98144792869745e-09 1.03050677357804e-09 1.004138111092e-09 1.9903335551549e-10 1.24684034761992e-09 NA
"11" NA 8.48026109883947e-10 6.95518860205103e-10 8.54361289374526e-10 2.31751798131218e-10 7.37294264983539e-10 3.35969233218177e-09 9.83348790210525e-10 3.67659675436543e-09 4.55957089485552e-09 9.3141601841795e-09 1.49409076918268e-08 1.67532643955174e-08 3.67888663645779e-08 4.52772574104537e-08 6.42170308198244e-08 3.09285199052055e-08 1.74440669981806e-08 1.40101679219608e-08 7.95525671980363e-09 7.08229555059603e-09 3.27818413256739e-09 1.69704431541183e-09 2.33607010412326e-09 2.08780895438629e-09 1.25865024763761e-09 7.11504640272395e-10 7.66885062760872e-10 7.15520999708524e-10 NA
"12" 0 1.97324281866457e-10 6.22324251320566e-10 2.65002353845294e-10 1.15259463279753e-09 2.37226267237083e-09 2.1947644270749e-09 3.28338669672364e-09 3.74123691246224e-09 4.99079654606055e-09 8.8444297090416e-09 7.36858048112128e-09 1.72505718326299e-08 2.82514425764615e-08 4.78377177284866e-08 5.56191448831262e-08 3.4786480464151e-08 2.30995166892892e-08 1.15808750818485e-08 6.67639497755745e-09 4.57414235351621e-09 6.29703477756191e-09 1.18537490192348e-09 1.07969582679433e-09 2.32342741024753e-09 1.00512085555979e-09 7.70794937509348e-10 1.33273735160938e-09 8.67178532849637e-10 1.12974166376368e-09
"13" 9.27746126747501e-10 1.5468517934845e-09 3.09731583591144e-10 1.301335891377e-09 9.41386514790849e-10 1.57351900853097e-09 4.10393946905587e-09 2.03443702873791e-09 2.94479362856166e-09 5.81023916217898e-09 1.02621886793312e-08 1.52681197660961e-08 2.073497253656e-08 3.29930208098428e-08 4.92599858408306e-08 6.87707553227793e-08 3.21591191632046e-08 2.23813043571304e-08 1.25408478471467e-08 9.07374378974795e-09 1.07141175090771e-08 3.11001450687875e-09 2.64827877618714e-09 2.29160207175087e-09 2.14350624685467e-09 2.41595619570966e-09 7.22597815634507e-10 1.01815482624442e-09 8.32025336088559e-10 1.16131327394115e-09
"14" 2.82891243040392e-10 5.74569437548021e-10 5.81547111726689e-10 3.64061485687126e-10 3.98343546410297e-10 2.36001623279985e-09 3.57239647395109e-09 1.24589974941029e-08 6.03993775122087e-09 4.70532365294785e-09 7.20973861707387e-09 1.82527921903325e-08 1.65895584848833e-08 3.50549672437172e-08 5.0323742306969e-08 5.66376697756412e-08 3.51027892903466e-08 1.55272855371507e-08 1.1782927162113e-08 1.0349653785615e-08 5.5744633307411e-09 3.35506801360418e-09 4.17925044317643e-09 2.25602816246645e-09 1.27545195826672e-09 1.54642418099276e-09 4.23230165470106e-10 1.41981809372522e-09 1.48911268774658e-09 6.64173216110286e-10
"15" 3.23302814833996e-10 0 2.01609134593015e-09 3.75762915496789e-10 4.66723799995147e-10 1.21003294134417e-09 2.14051103615967e-09 2.81196230225289e-09 3.19006955697166e-09 3.11336967551660e-09 8.63803567382216e-09 1.22357933298838e-08 2.23136063391335e-08 3.56496356968001e-08 6.26910874289276e-08 6.03397280694579e-08 3.88668231297143e-08 2.51214301158892e-08 9.34662576964645e-09 8.12006243341652e-09 7.19227940843782e-09 3.23839569118233e-09 2.02841588863549e-09 3.64205497519328e-09 1.41764593104604e-09 1.65443894802834e-09 1.3732902245539e-09 4.42226260929158e-10 4.57846405759104e-10 4.01414419817473e-10
"16" 0 5.55715833785102e-10 2.57542466063843e-10 1.24851637248158e-09 1.51090942309105e-09 1.446946014832e-09 4.10401300527408e-09 1.1931031884703e-09 3.74809382585636e-09 6.9635631246045e-09 1.06127308920564e-08 1.55844340318514e-08 1.96969206633946e-08 3.80242096519951e-08 5.43610389455918e-08 6.45513811392722e-08 2.86387722348434e-08 2.46578844767799e-08 1.42833855826509e-08 1.01768142931763e-08 6.10931368508723e-09 4.32104193824545e-09 3.01755509991766e-09 4.24531822326281e-09 2.20654194488037e-09 1.0386083668368e-09 3.58613880049159e-10 8.5672321995883e-10 4.90889727199089e-10 2.57849072150249e-10
