"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30"
"1" NA NA NA NA NA NA NA NA NA NA NA 8.35203258731013e-10 5.99547061893663e-09 4.63419368941415e-09 2.30672221139405e-09 8.18707436140603e-10 5.69345435309603e-09 2.08754500895762e-09 3.35233794019675e-09 NA NA NA NA NA NA NA NA NA NA NA
"2" NA NA NA NA NA NA NA NA 1.05093268810303e-09 2.30673240644561e-09 2.85203784839288e-09 1.9077391041079e-09 1.27799308554524e-09 4.74161376138509e-09 5.64214663564259e-09 2.41909262949879e-09 1.12784473578609e-09 2.37463584888957e-09 1.41732009076028e-09 1.16365670295068e-09 1.3696945064979e-09 0 NA NA NA NA NA NA NA NA
"3" NA NA NA NA NA NA NA 2.62230203500135e-09 2.41621807639261e-09 2.46334496383213e-09 4.37205063782494e-09 2.0232516293416e-09 6.65070799773170e-09 2.33336809910601e-09 5.76794126390393e-09 3.78450165423386e-09 2.79139768217823e-09 1.34340267524983e-09 5.07302964347624e-09 2.1203742273284e-09 8.61660545315006e-10 6.2172750971465e-10 8.36133463130897e-10 NA NA NA NA NA NA NA
"4" NA NA NA NA NA 5.13759385795678e-10 0 2.79783354012296e-09 1.83294727787569e-09 1.95108706961323e-09 5.8379969938709e-09 1.65271088423153e-09 6.4512053911126e-09 3.44149990568769e-09 1.35558823130972e-08 4.40441749828402e-09 2.44820957274386e-09 2.73832376375484e-09 1.75670369762838e-09 1.58585404624916e-09 2.64415392143241e-09 4.52757735976827e-10 0 8.17312107331462e-10 2.07613640272515e-10 NA NA NA NA NA
"5" NA NA NA NA 2.02987204932829e-10 1.53408215381188e-09 4.13178161067239e-09 1.36900781350973e-09 1.35490505600621e-09 1.41154917938982e-09 2.51077110730902e-09 5.58644207748501e-09 1.59843979117621e-09 5.10180370409379e-09 9.3426538132775e-09 6.5923100490128e-09 4.0962191191278e-09 8.72599309890664e-10 1.03428389466903e-09 3.27756838160787e-09 1.0746064539487e-09 1.18734274156563e-09 1.2069946916743e-09 0 5.52926142603134e-10 0 NA NA NA NA
"6" NA NA NA 2.57957719456814e-10 8.23702489704456e-10 1.12709315897797e-09 1.60891924053688e-09 6.71086137769468e-10 6.70757534942649e-10 3.62754312840625e-09 1.17725176893628e-09 3.96028438027039e-09 3.88107104766185e-09 8.15767161409477e-09 9.11088462044823e-09 7.02980308953016e-09 8.06534251179314e-09 3.05999717567452e-09 1.28996083439794e-09 4.87389905632768e-09 9.22050237269287e-10 1.73018641983949e-09 4.54650883990743e-10 8.53215755025582e-10 0 7.19673679583342e-10 3.17308584632051e-10 NA NA NA
"7" NA NA NA 2.04220283637048e-10 1.68263411381754e-09 2.33760068958361e-10 7.86480625766895e-10 1.38283557680587e-09 3.4445631217086e-09 4.324518936783e-10 3.51745851796424e-09 7.88345472701853e-09 1.03870344922984e-08 9.65039786316277e-09 6.75873739265147e-09 6.03273040110443e-09 1.07517003609167e-08 9.82414492054811e-09 5.32983070208768e-09 2.92115878418234e-09 2.8578952734949e-09 1.0052514955412e-09 1.08241007168936e-09 8.23122893034958e-10 1.79017122287624e-10 4.05263624677516e-10 1.32608843264425e-09 NA NA NA
"8" NA NA 0 1.05655535830995e-09 1.60446495110398e-09 6.73770464154936e-10 1.71522414761628e-09 1.63634962359308e-09 5.09384018324529e-10 2.06745232955933e-09 3.33886691078854e-09 6.76439617047048e-09 8.35837767427721e-09 6.36095179418383e-09 1.30707423848761e-08 9.54621276214471e-09 6.8008772960241e-09 4.42845093963459e-09 5.09324170849842e-09 4.8801958802122e-09 1.86051515638226e-09 1.78451031175586e-09 1.56124297379684e-09 5.64380756283889e-10 3.77686767112364e-10 0 7.27111286882269e-10 4.93942485374897e-10 NA NA
"9" NA 1.18151904691549e-09 3.12233191404408e-10 6.81241256512043e-10 9.96691776278261e-10 9.52174015905314e-10 6.96086174866698e-10 1.81612734762098e-09 1.16601242374243e-09 1.01539919337838e-08 2.07426255937825e-09 7.40084792075227e-09 7.3225477509904e-09 1.32131537086056e-08 1.15843687584817e-08 1.79172586676222e-08 2.16062403799773e-08 7.74297365261023e-09 4.66147467992179e-09 3.24006561716508e-09 6.0884095607989e-09 2.10116972703809e-09 1.38118458667744e-09 8.48355027481574e-10 1.4899424113433e-09 0 7.73004169892368e-10 3.76999387602051e-10 0 NA
"10" NA 0 0 7.88955018519141e-10 1.40868782070471e-09 3.60831263119341e-09 1.62496896275928e-09 8.36066934571781e-10 2.16137903166423e-09 1.96744631131274e-09 3.11520552421072e-09 7.5624506071306e-09 9.99167019567358e-09 1.21451687235633e-08 1.15353299095031e-08 2.10207101536988e-08 1.51803664286318e-08 7.72739200093436e-09 7.11589309088906e-09 6.53001757855045e-09 8.96872759540114e-09 2.04340212899418e-09 5.56762805515172e-10 1.8131817311291e-09 7.97516925833745e-10 3.17754765650378e-09 3.33544557111779e-10 0 0 NA
"11" NA 0 0 2.33199005819799e-10 0 9.55559285618255e-10 2.82678793630562e-10 7.91005794501701e-10 4.36755917621174e-09 7.18620515021918e-09 4.32682240841121e-09 4.78965665646607e-09 9.135162025885e-09 1.36276785600466e-08 2.37367444129426e-08 1.88230035113875e-08 1.51483375489354e-08 1.08619825058175e-08 7.47561492748809e-09 4.76353433574685e-09 4.03720189191646e-09 4.62878276195356e-09 2.44654670652818e-09 1.62022660804542e-09 2.9033379232774e-09 0 4.68798444590779e-10 0 0 NA
"12" 3.09345413295024e-10 5.28574568419861e-10 1.08031002919738e-09 1.15558565690203e-09 0 3.0311045386884e-10 2.73796431317426e-09 2.90170113443295e-09 2.04360128210589e-09 6.60119148480068e-09 3.1769707655864e-09 8.81671334220454e-09 1.48743229116537e-08 1.26353638488111e-08 3.19101436337392e-08 2.73691652086904e-08 1.7625944479658e-08 1.30628891650963e-08 7.75448122177533e-09 5.94579010312298e-09 3.37710006319548e-09 2.27331112566186e-09 1.31301802662387e-09 9.99105589426279e-10 0 6.46387606500045e-10 5.03801945156859e-10 8.56446403282635e-10 0 0
"13" 1.26963386133082e-09 0 0 8.92510609560938e-10 1.36756512019194e-09 7.36504358317702e-10 5.0734270223571e-10 3.61582179743173e-09 2.15600210291494e-09 2.09355589328789e-09 6.80781698416242e-09 8.90824752053344e-09 6.04331114786115e-09 3.32546080950458e-08 3.4111051746224e-08 3.61723283278898e-08 3.04498951971558e-08 1.47739401071416e-08 5.84279519369876e-09 6.53303389844062e-09 6.75359364067499e-09 6.52238211240056e-10 1.7544401541378e-09 2.46285203363682e-09 7.457017410581e-10 7.39466488298072e-10 1.01594304628993e-09 2.92977309199369e-10 0 4.70404937997854e-10
"14" 2.65839356595646e-10 1.16488334966598e-09 0 4.45489288554865e-10 0 5.12324649594963e-10 1.33952811419767e-09 1.21228547396517e-09 2.51110294471781e-09 3.79135652694084e-09 1.87148685773734e-09 1.48275750891152e-08 1.77910549654122e-08 1.89480307501479e-08 4.01676370753615e-08 5.03788068788769e-08 2.79341650114045e-08 1.3669090857706e-08 8.94066873183745e-09 1.59239158549575e-08 4.32613229824359e-09 2.29208931513334e-09 1.64802982644453e-09 9.3648293991857e-10 6.46727241639577e-10 3.07480101030694e-10 3.22919436111942e-10 6.11649921182369e-10 9.10972146219671e-10 2.4866782895979e-10
"15" 7.06768893661728e-10 2.48067280306288e-10 4.54455501729651e-10 1.37054409207932e-09 2.42488956400805e-10 1.12381878567952e-09 1.25314252555284e-09 3.62483713619434e-09 3.10822578627537e-09 3.29196945195613e-09 7.99331922617919e-09 1.02958975055656e-08 1.2784475563169e-08 2.54993058292209e-08 5.4132409407474e-08 5.67906597831082e-08 2.45173706850695e-08 1.32788695277334e-08 8.54759536554486e-09 7.13422889641313e-09 3.6509400118477e-09 1.86399124773908e-09 2.1315492794269e-09 2.91113295490978e-09 1.7749383026143e-09 3.05682969868504e-10 1.0661040809602e-09 3.3288516706543e-10 0 0
"16" 2.53914661494257e-10 4.04627173294128e-10 7.3815249084733e-10 1.27895512666798e-09 4.09216683316834e-10 1.80172140318131e-09 1.27152090528876e-09 3.61234172750374e-09 1.97290705967914e-09 4.9944257770328e-09 4.76232049753354e-09 6.81617070244612e-09 1.11110636106311e-08 2.03329831931908e-08 3.74725149255636e-08 3.3815726014972e-08 2.96994576121814e-08 1.56359855580447e-08 5.82701087090233e-09 4.64530386105623e-09 3.80498340202188e-09 2.78163165707971e-09 1.62497504318672e-09 3.54162149053202e-09 1.17250783065778e-09 3.9318618851333e-10 0 0 2.19564880762786e-10 8.72678877635942e-10
"17" 6.17439110808812e-10 0 4.72783459242337e-10 0 3.01904189615593e-10 7.831101483707e-10 1.54938435522553e-09 1.02789590853308e-09 1.54271831946672e-09 5.14299454132619e-09 4.99427976884686e-09 1.05119591443013e-08 1.72180826374954e-08 2.18670607828171e-08 4.15445520208668e-08 3.86040934893036e-08 2.98100298862044e-08 1.18188760088987e-08 1.03883215077201e-08 5.80810474840248e-09 4.93202377499784e-09 2.59799453023781e-09 1.7539882703686e-09 1.46010487141092e-09 2.08552126429595e-09 0 4.54344886062398e-10 8.54012172313578e-10 6.89153179924513e-10 0
"18" 0 0 5.62854269635137e-10 9.59538705372649e-10 0 5.55241542791436e-10 3.82578662819579e-10 5.70917980809625e-10 6.96623366414443e-10 3.61070735787531e-09 5.03397519233982e-09 7.01941834334427e-09 1.29581404870057e-08 1.7685557832926e-08 3.44840029816994e-08 2.52440230185866e-08 2.49871323843532e-08 1.07945862101398e-08 1.34099993284112e-08 6.98723384825959e-09 5.71844867641331e-09 1.58913275371138e-09 2.96556967274156e-09 5.75801642928093e-10 2.75875367220521e-10 3.26877539259749e-09 2.8859264912989e-10 4.1164595383925e-10 0 3.21235469478803e-10
"19" 3.08302338767438e-10 0 2.71207699824795e-10 0 2.64434031841439e-09 1.24649720839849e-09 0 9.26083686532093e-10 2.74361384088318e-09 4.93093560049558e-09 8.36920510022515e-09 4.85116170072093e-09 1.21632870284649e-08 2.11031081031693e-08 2.66361788602204e-08 2.11997020456964e-08 2.17999548757548e-08 8.12698887900959e-09 8.01272282046837e-09 7.45310869566008e-09 1.25477720495673e-09 2.21430085837324e-09 5.30485642188168e-10 2.88928082903563e-09 3.41215297662816e-10 1.33542408613523e-09 4.71007859565838e-10 0 0 1.77095010668427e-09
"20" NA 0 4.79998391949251e-10 0 5.91076870084141e-10 1.06706247103409e-09 1.61931547826111e-09 1.90099723692838e-09 8.00005294624741e-10 4.14480512138998e-09 8.76089768890294e-09 7.43040380649667e-09 9.93065441585993e-09 1.13855212838207e-08 1.89172227853317e-08 2.47652070526009e-08 2.38197431575995e-08 8.49097455056494e-09 4.28854099157705e-09 4.56983282720872e-09 5.42337723618581e-09 2.15450667747186e-09 1.67388584628703e-09 9.05394800466053e-10 8.9256926326439e-10 1.70478377704141e-09 1.42704759121679e-09 0 3.86138472791935e-10 NA
"21" NA 0 0 8.45462331999724e-10 1.15481022838494e-09 5.70357331946067e-10 2.82030997507375e-10 1.13571205945625e-09 2.08204109443729e-09 3.78811064112975e-09 5.66221868282504e-09 5.60581127636806e-09 8.81698451639195e-09 1.36360762137445e-08 1.09733337337218e-08 1.09535050132649e-08 3.21168278384065e-08 1.25539005758694e-08 7.22540444739818e-09 6.05656527149575e-09 5.42334647457973e-09 4.49513046718721e-09 2.49225699551314e-09 2.92945498392752e-09 3.87276220693543e-10 1.87784804041806e-09 5.11244876722348e-10 0 4.77756946736611e-10 NA
"22" NA 0 0 1.07159782605753e-09 1.09896753291848e-09 1.02987146177846e-09 2.67098478986226e-09 1.48014040565695e-09 1.44155751337225e-09 3.0986635164676e-09 3.34496285122472e-09 4.81465856714695e-09 7.49858261165494e-09 2.1023149026293e-08 1.82776394626407e-08 1.00002759298245e-08 1.14669352364632e-08 8.4798461942226e-09 5.80525027109224e-09 5.53034663054795e-09 3.77939749561709e-09 1.26298905859237e-09 1.09719502718992e-09 1.90304986945612e-09 1.078163171429e-09 1.3218965737154e-09 2.21871240193501e-10 4.3903746420459e-10 4.69859032302273e-10 NA
"23" NA NA 0 0 3.4858479388909e-10 1.39309810416483e-09 5.21303478846668e-10 0 2.18674672160445e-09 4.56425815714131e-09 4.91755219438719e-09 6.4832885768598e-09 6.92217903365176e-09 1.09432793876124e-08 1.0608831158149e-08 5.89380207133461e-09 1.03730967534585e-08 5.49190204346625e-09 5.56763211822691e-09 2.50488257925327e-09 3.60288555521336e-09 1.16489099316961e-09 1.84839523493067e-09 2.28157845658884e-09 1.27906811672693e-09 1.41997454878814e-09 0 0 NA NA
"24" NA NA NA 8.11267886534934e-10 1.03254208069284e-09 0 6.06091796873781e-10 1.36856122448984e-09 2.50577102898151e-09 2.43308220491564e-09 3.4919315184019e-09 4.72150160961133e-09 5.15550421427891e-09 6.46517922333469e-09 9.05028477878603e-09 9.42614426161853e-09 1.15309904940968e-08 8.33600399002564e-09 7.46584091327283e-09 2.77793610103314e-09 4.84426279766018e-09 1.65667811375764e-09 1.3813683283769e-09 4.24252325546668e-10 1.99297839063247e-09 1.21023065650469e-09 2.69498867068766e-09 NA NA NA
"25" NA NA NA 2.82946037535287e-10 3.50238478376091e-10 5.86586749435731e-10 8.21385726915437e-10 8.51078835776609e-10 3.24615323502976e-10 1.42576592264561e-09 3.34947563884374e-09 2.87724402220853e-09 6.30138026083518e-09 7.18999174862737e-09 1.35333562189599e-08 8.21596919936989e-09 8.34495225972379e-09 1.16869510616391e-08 4.70945096183763e-09 1.6639115386494e-09 1.62023289322625e-09 2.50330404291578e-10 3.0031242707242e-09 1.36458910838963e-09 0 2.69780413037615e-09 1.35848740832845e-09 NA NA NA
