"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30"
"1" NA NA NA NA NA NA NA NA NA NA NA 5.28391342758079e-09 9.10384044780554e-09 9.42538910637243e-09 1.55389956375476e-08 1.56717437722782e-08 1.19659314407803e-08 1.15193859898096e-08 8.92363320983623e-09 NA NA NA NA NA NA NA NA NA NA NA
"2" NA NA NA NA NA NA NA NA 3.64708263440435e-09 7.37413527140054e-09 4.72020421182856e-09 8.93695120436114e-09 1.37793108073274e-08 1.7213370727948e-08 1.43819111445491e-08 1.64590955221431e-08 9.08673124038703e-09 1.35831823685176e-08 6.93637007831946e-09 7.99122561206883e-09 3.36194493519324e-09 3.69077320576904e-09 NA NA NA NA NA NA NA NA
"3" NA NA NA NA NA NA NA 2.64619192667152e-09 5.50485782144959e-09 3.88913642713192e-09 6.34838978019546e-09 5.31853240866377e-09 8.94842857713377e-09 1.39083689964102e-08 2.03342666267033e-08 1.51518133854577e-08 1.98134241334474e-08 1.08816244193685e-08 4.72728717361941e-09 3.83500691097303e-09 5.91987538450694e-09 2.05954391913107e-09 2.19103518113641e-09 NA NA NA NA NA NA NA
"4" NA NA NA NA NA 4.06850820087679e-09 1.35666616162617e-09 4.63437130820263e-09 4.44549802431869e-09 6.21438151026105e-09 5.90502348038696e-09 1.41126800093816e-08 1.15906446306223e-08 1.7167574402338e-08 3.88618836641199e-08 1.77234132421132e-08 1.81903246048504e-08 1.11852643235632e-08 7.52784068107852e-09 1.01301505091245e-08 5.39044252014247e-09 3.4680645124225e-09 3.88290395088e-09 1.49009267934092e-09 2.82859161007917e-09 NA NA NA NA NA
"5" NA NA NA NA 1.92577113436989e-09 2.71287293840342e-09 2.25517003564831e-09 1.74822332389378e-09 5.26407110976466e-09 6.84769891027935e-09 5.33021225836705e-09 1.00881320946283e-08 2.23341195669266e-08 1.49951828014616e-08 2.83140854201979e-08 1.90334817899693e-08 1.49146567840502e-08 1.34994467236385e-08 1.12582774117754e-08 4.23434015316229e-09 7.57061410282407e-09 6.63270760943838e-09 1.39769498267891e-09 3.06680307711149e-09 2.99376993869215e-09 2.14586226556052e-09 NA NA NA NA
"6" NA NA NA 2.02989492591617e-10 3.52656491669881e-09 3.30825307931077e-09 2.82010162331591e-09 4.66318000315612e-09 3.27766144729887e-09 6.80590190588279e-09 6.01971893505305e-09 1.15517012997376e-08 1.58799853477458e-08 2.8101908913998e-08 3.56263724159441e-08 3.52703416129228e-08 1.94262472966794e-08 1.76261256205788e-08 1.25170698884377e-08 1.00601085726887e-08 4.72773571807044e-09 6.21987941209501e-09 3.96431538719331e-09 2.960088861616e-09 2.06867372200543e-09 1.30911829763712e-09 1.12364387676731e-09 NA NA NA
"7" NA NA NA 9.35511468418696e-10 3.05307097038737e-09 1.01245481323979e-09 1.36619644666796e-09 4.71363192036573e-09 5.45131837620735e-09 5.56615913712351e-09 7.25657968819915e-09 1.58421029721704e-08 1.62486596682683e-08 3.03055658920507e-08 2.39213292741308e-08 3.55026939665284e-08 1.9674353939333e-08 2.21550992755285e-08 1.29477769624256e-08 9.11701661135025e-09 5.13751249362743e-09 3.43256939607711e-09 2.88848315511107e-09 2.83327253123269e-09 3.08044790278987e-09 3.15898959896766e-10 1.2698747156589e-09 NA NA NA
"8" NA NA 5.77611549279349e-10 1.28873561668453e-09 1.60821696199705e-09 4.08532626841553e-09 2.36566568828653e-09 1.91333541590246e-09 5.34806322152488e-09 6.75284441853735e-09 9.45710954263086e-09 1.60309780089256e-08 2.20908063986698e-08 2.87924130159133e-08 4.60169017116185e-08 4.72689802755329e-08 2.32807552423776e-08 2.28506301437139e-08 2.09005940091138e-08 1.76717745053158e-08 6.64750391143614e-09 4.20121070004736e-09 5.43511426086678e-09 2.36725120033302e-09 3.36284829912623e-09 1.93251434163242e-09 8.42433463316867e-10 9.11708524196537e-10 NA NA
"9" NA 0 1.41839134481698e-09 6.70093329733409e-10 2.19056362484281e-09 3.44141769972283e-09 3.72487659209461e-09 2.29411932462785e-09 5.40235790139875e-09 6.17117645466103e-09 9.12981341339934e-09 1.80603064982678e-08 1.9876921631522e-08 3.89247809663406e-08 5.84916642530313e-08 6.7378216934025e-08 3.80622093077785e-08 2.70449290108613e-08 1.23039348351386e-08 1.20895189966657e-08 1.16770913716097e-08 4.9316145019373e-09 5.132061385412e-09 3.01063852709362e-09 1.5073109932955e-09 2.09915192602107e-09 2.81811128714255e-10 3.31288967675709e-09 2.27202728122622e-09 NA
"10" NA 9.32226365756195e-10 2.12966922952876e-09 1.11621134829968e-09 1.86018388236058e-09 3.54925712145096e-09 3.91959301546935e-09 1.72236601345013e-09 5.46845129528428e-09 9.02035123353188e-09 9.38833103103911e-09 1.59415280304164e-08 2.91636941867929e-08 3.8969919355716e-08 6.10142161079321e-08 6.622686128353e-08 4.76917422247903e-08 2.14333782892482e-08 1.52256874093432e-08 1.48433267318056e-08 6.72181454712426e-09 4.32798280655062e-09 4.27481206608077e-09 3.14896585546521e-09 2.71065705585027e-09 1.39243482145397e-09 8.31443500106623e-10 2.30722679399232e-09 1.56906582010341e-09 NA
