"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30"
"1" NA NA NA NA NA NA NA NA NA NA NA 6.6386702312765e-09 1.77269548423533e-08 2.05869010731815e-08 2.22185380212809e-08 2.27934918482469e-08 2.61961827934812e-08 1.73945966047877e-08 1.29944038434932e-08 NA NA NA NA NA NA NA NA NA NA NA
"2" NA NA NA NA NA NA NA NA 5.33893655480362e-09 7.14468244955212e-09 1.43495668486891e-08 1.00834530314195e-08 1.82985933212339e-08 2.65164761371384e-08 2.80853753668013e-08 2.50196041631789e-08 1.62727650511734e-08 2.06380750390738e-08 1.80174358711372e-08 1.29820291804231e-08 5.61572019261713e-09 4.11521330708998e-09 NA NA NA NA NA NA NA NA
"3" NA NA NA NA NA NA NA 2.51779970273631e-09 1.28395524055332e-09 5.08484835337054e-09 1.18580839844339e-08 1.34662685675743e-08 2.28116279313439e-08 1.67671375962237e-08 3.54255078221158e-08 2.44664605631708e-08 2.13827646135343e-08 2.00325385220895e-08 1.09820088447811e-08 6.94066080887676e-09 4.55479701676164e-09 4.12069131580349e-09 3.47659552801943e-09 NA NA NA NA NA NA NA
"4" NA NA NA NA NA 0 3.40707614757605e-09 4.88543677046529e-09 6.74933324680848e-09 8.14530971015869e-09 7.45461272675341e-09 1.17406467648206e-08 1.9352213158964e-08 2.82059013544074e-08 4.75013157270468e-08 2.68187510775718e-08 3.03199317685014e-08 1.90120070316745e-08 1.34957116581978e-08 7.80343717100456e-09 6.65375486856065e-09 4.68265348204785e-09 4.16373491871839e-09 6.1773929993317e-10 2.04986657042848e-09 NA NA NA NA NA
"5" NA NA NA NA 2.70266620402374e-09 2.59802330378133e-09 2.11643396043566e-09 2.45508642939966e-09 4.85762625846545e-09 4.3658189470466e-09 7.36834895329305e-09 1.66532449754282e-08 2.13657392359403e-08 3.77567941155132e-08 4.36071126089033e-08 4.05334339291812e-08 2.48866211365731e-08 1.47676700127649e-08 1.30817681769678e-08 9.0006677274765e-09 8.15379870242447e-09 2.46897036012771e-09 5.55918013870919e-09 3.82621508088752e-09 2.05123540701882e-09 2.03858205191337e-09 NA NA NA NA
"6" NA NA NA 5.29272233491079e-10 1.65762012156543e-09 7.47835317611787e-10 3.2424450476325e-09 3.99002314274681e-09 2.88637587587409e-09 5.78644004934649e-09 9.45192032921049e-09 1.70426188207042e-08 2.25214665686507e-08 3.8746569571972e-08 5.96160355681834e-08 4.60744872419018e-08 3.21268948334843e-08 2.35035126691228e-08 1.34373834269579e-08 1.10503821473632e-08 7.03490311882709e-09 6.18965543421329e-09 3.66290543833375e-09 2.22750762218709e-09 1.5035935151184e-09 2.81265064054962e-09 2.26272014696438e-09 NA NA NA
"7" NA NA NA 1.33791572670474e-09 6.97426706618888e-10 1.21392849538906e-09 5.15692257000456e-09 2.29408895316065e-09 8.64206759727472e-09 8.67588614868473e-09 9.53887362599765e-09 1.08172089299167e-08 2.5068733875835e-08 4.13137211628222e-08 5.92685936014229e-08 5.18785898626579e-08 4.07592742875203e-08 2.11549551352084e-08 1.85149357524075e-08 9.22243293453007e-09 5.98848598528078e-09 6.22691655776082e-09 3.61544344381422e-09 2.58011331213061e-09 2.37703020018516e-09 1.69516037518771e-09 8.45198269274235e-10 NA NA NA
"8" NA NA 1.47329730729853e-09 2.14400293739445e-09 1.64636492707548e-09 1.71986470431098e-09 3.28142402894362e-09 2.74725189981763e-09 4.34798990225479e-09 6.27224651644472e-09 1.24917961635091e-08 1.99067590223278e-08 2.58589039533008e-08 4.52685474280992e-08 7.22520547943034e-08 7.63302002083099e-08 4.72389589022192e-08 2.86277526375523e-08 1.82454683741803e-08 1.28401194699726e-08 1.26600192523308e-08 7.1958009584288e-09 2.21302482945889e-09 5.42089942125395e-09 2.10385892123639e-09 1.0023382010982e-09 1.35326199740287e-09 8.37445761549505e-10 NA NA
"9" NA 1.48327145144568e-09 2.21604895003773e-09 7.15942783050274e-10 1.83377282499861e-09 7.07120416511576e-10 2.42960919590302e-09 4.44635423695423e-09 4.59079543070174e-09 6.54259407813864e-09 1.44812266986072e-08 1.72470305511e-08 3.39950818151183e-08 5.22961263559516e-08 7.37980483366074e-08 8.76652126567361e-08 5.07647396538288e-08 2.89387412191585e-08 1.52912921711587e-08 1.27892472035304e-08 6.58081753677483e-09 5.03223046211109e-09 3.24844807005845e-09 2.73827435919706e-09 1.48729537128649e-09 2.37193342100918e-09 1.3486222775851e-09 1.39662150328568e-09 4.26105846213884e-10 NA
"10" NA 1.38063749968202e-09 5.36642121402836e-10 2.87873250570737e-10 2.87182024631524e-09 1.80068333750745e-09 1.35443577273914e-09 3.58210991247295e-09 4.70483630987055e-09 8.31020692646993e-09 9.25756561691571e-09 1.81248838885084e-08 2.77861025687776e-08 7.44535310503343e-08 1.01120727867982e-07 8.18424436243874e-08 6.68538700203514e-08 3.60033468943657e-08 2.25660333518879e-08 1.2160607371163e-08 8.19785191170917e-09 4.79140172688501e-09 3.76241694766622e-09 2.81409087233715e-09 2.15727363229783e-09 1.6681963832861e-09 2.08721525393426e-10 5.81770376365822e-10 0 NA
"11" NA 9.39853980837982e-10 8.3496096320005e-10 2.43023860365985e-09 9.85283318359575e-10 2.98577647639105e-09 2.49941311649561e-09 4.08352683067834e-09 6.37333404068e-09 8.52538974418111e-09 1.16844520775254e-08 1.82150335845187e-08 3.28731188865882e-08 5.46170367158e-08 1.25102658581407e-07 1.59098891711775e-07 5.7029049401378e-08 2.97095490680245e-08 1.9485228156259e-08 1.00057281422432e-08 1.18321238951535e-08 5.55741966376927e-09 7.74555569624072e-09 5.4079828762636e-09 2.3907567054248e-09 1.30719553492011e-09 2.18354098958025e-09 2.11865935569781e-09 1.82743888708591e-09 NA
"12" 5.84352068985804e-10 2.4888062849988e-10 1.25699012080632e-09 2.23506773262757e-09 1.81645010091703e-09 2.17654714329175e-09 1.41712795180411e-09 4.10946867494279e-09 6.00106467753491e-09 9.642633066945e-09 1.69499744602472e-08 2.76607019454601e-08 3.53037125674082e-08 7.45638775354532e-08 1.48426090781612e-07 1.26852735902741e-07 5.48975484928999e-08 3.40398416881267e-08 2.13038526424455e-08 1.56111707769514e-08 1.26186432871806e-08 1.12642118061603e-08 4.15868785252958e-09 2.23874161285255e-09 2.06133236744136e-09 1.94024798560255e-09 1.94705507532852e-10 8.8099288124131e-10 5.20231249825177e-10 7.94636409647764e-10
"13" 2.8789874253969e-09 2.01092449156747e-09 2.52778578239342e-09 2.42900624518169e-09 7.83810405577011e-10 2.88507503419392e-09 2.16455229814152e-09 3.53980621110272e-09 6.62415254593127e-09 9.89862241354636e-09 1.38558567067432e-08 1.61943271825666e-08 4.39646582537901e-08 6.18194420452827e-08 1.21214594779615e-07 1.35816763886702e-07 6.72314235382295e-08 4.41060552888277e-08 1.86235107069569e-08 1.38394953405573e-08 5.83857228946425e-09 6.19880214736762e-09 5.03591032971769e-09 1.82493370740977e-09 2.15858250650636e-09 2.07929949858535e-09 1.7879784821347e-09 0 1.25645697891488e-09 5.0674766350428e-10
