"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30"
"1" NA NA NA NA NA NA NA NA NA NA NA -140.311007884297 -90.4864870297501 -55.8868508381662 -67.4778095923908 -72.2182680345504 -155.19371914621 -125.695238553757 -90.9942106010415 NA NA NA NA NA NA NA NA NA NA NA
"2" NA NA NA NA NA NA NA NA -69.2516097752818 -105.036103209765 -61.4173435855248 -59.1820999924581 -119.503635302613 -125.480016078531 -87.8891185311359 -73.6920895114694 -85.7892838037192 -142.317877252966 -48.5395996093748 -67.0401918284865 -72.9978601168809 -5.31215489148951 NA NA NA NA NA NA NA NA
"3" NA NA NA NA NA NA NA -26.3153488232835 -88.3297703738721 -136.971359146877 -75.1073147249333 -67.5842899489172 -101.443872890117 -125.663240639449 -64.5202837998978 -75.2735710396303 -20.9958320354106 -118.849269914529 -131.110845634912 -79.1967565382089 -55.2064716313781 -147.092610203426 46.0286122632494 NA NA NA NA NA NA NA
"4" NA NA NA NA NA 0.319669433629232 -50.3696586468666 -62.4448544259241 16.1014502638892 -95.7617607941768 -80.0105118713296 -107.995558056721 -78.1122767311542 -65.6595208184705 -121.043983044687 -48.9606469796281 -72.5860391095159 -55.8252613107001 -70.7571274139495 -93.5666814850579 -26.3825022340701 -31.7140081850193 -98.2000741712914 -116.039486216386 -24.8012133644254 NA NA NA NA NA
"5" NA NA NA NA -39.3236512004223 -69.0726636439807 -49.5925611354866 -62.4926028574937 -66.771557087196 -71.0142513592092 -115.138185845307 -44.740994362271 -101.275787215124 -74.8218970995138 -90.1424777755892 -87.1399852087413 -57.6097375281212 -45.2323589830915 -60.0514967629828 -82.7354802618888 -82.1256198581566 -70.0415338055609 -76.5160000046797 59.3173038338826 -13.6299513178026 -87.8648467257244 NA NA NA NA
"6" NA NA NA -97.0982293061845 -9.50845075181851 -87.3844993490781 -69.2199989819925 26.3381832287325 -10.291580843864 -143.944038688237 -114.981644278199 -98.4203703468637 -57.6278550563187 -91.1628418711524 -77.9139891932686 -64.2499574887122 -87.2984116451563 -92.2437310922666 -85.6449663770694 -101.300314466118 -49.8856712431886 -83.0909598748142 -0.098891523593545 -80.4121411178615 -7.54712252169241 NA 182.653989230871 NA NA NA
"7" NA NA NA 103.11244777277 -189.224663634777 -41.1850116781906 17.328024814174 -76.683317609158 -119.37621139654 -33.4492394575225 -64.3899675967306 -35.9217075161034 -47.2193089317171 -66.6911127769454 -51.9938483465713 -62.5264803810045 -71.8766810690195 -36.8437529420988 -91.351311134643 -100.824466257538 -45.4243755881152 -46.3184996612621 -16.7865926565923 -162.152498143022 -2.52178188810029 -67.729867812497 -89.0542103887276 NA NA NA
"8" NA NA -18.5735705887243 29.7657929861892 -95.2492640975992 -93.2733391733502 -44.885050661014 -30.0373274972715 -110.731343451959 -58.6184994727674 -40.1618915291289 -59.479340952173 -68.2264230989027 -52.5294016498946 -67.9217647037071 -50.7357278717324 -51.7636858654668 -99.7829044816736 -54.9446557461169 -90.0597759791727 -102.459443483327 -34.1655793007216 -92.1611529037977 -52.0887481392053 21.8221950072279 -115.70780629061 -25.398118648592 28.0653757537674 NA NA
"9" NA -53.8952365627088 74.0944255383951 -387.625636749454 93.1623833665046 62.2364049579325 7.26818224296835 -23.6720448397103 -24.1707462211257 -17.0635558961204 -68.8103645244139 -61.5538597248858 -50.8640658885158 -70.3902152806482 -62.8184644641046 -57.4101055703768 -56.7755224469003 -64.9939380825719 -90.1154899445797 -41.6192662952273 -51.917592542357 -11.0084903149028 -22.7674490323609 -9.62463670832242 65.3678987403341 -92.9799733902897 21.3361020211649 -20.5110983444234 -93.0686298836731 NA
"10" NA -0.986703231346389 -131.482664341741 -269.395713724714 87.4595505523735 34.6509334874189 63.7134085638036 -25.8722069336352 8.82135234457986 -29.272518012252 -41.8894104480435 -29.3148250361177 -55.9384147774285 -46.0250881783682 -55.4386626389907 -52.3236043357225 -57.5507956498659 -47.0880574864586 -53.1405937567727 -40.6584617332135 -34.8690215125474 52.4063254844551 -6.5807614177851 55.4209516137494 -38.1999650607735 45.6754163215239 -100.084238118238 70.4720479630028 -49.8836766311539 NA
